"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Johnson vs Valanciunas (Covington gains possession)","0","-80","0","0","0","10","202685","1610612755","101161","0","0","203496","1610612755"
"3","7","11:46","[PHI 2-0] Johnson Cutting Dunk Shot: Made (2 PTS) Assist: Simmons (1 AST)","-3","-1","2","0","108","1","","1610612755","101161","0","2","1627732","1610612755"
"4","9","11:19","[TOR] Lowry 3pt Shot: Missed","-78","260","3","0","66","2","","1610612761","200768","0","2","","1610612761"
"5","10","11:17","[PHI] Covington Rebound (Off:0 Def:1)","78","576","0","0","0","4","","1610612755","203496","0","2","","1610612761"
"6","11","11:14","[PHI] Simmons Turnover : Traveling (1 TO)","29","54","0","0","4","5","","1610612755","1627732","0","2","","1610612755"
"7","12","10:56","[TOR] Ibaka 3pt Shot: Missed","27","263","3","0","1","2","","1610612761","201586","0","2","","1610612761"
"8","13","10:50","[TOR] Powell Rebound (Off:1 Def:0)","27","263","1","0","0","4","","1610612761","1626181","0","2","","1610612761"
"9","14","10:48","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","2","","1610612761"
"10","15","10:46","[TOR 2-2] DeRozan Jump Shot: Made (2 PTS) Assist: Lowry (1 AST)","-144","56","2","0","1","1","","1610612761","201942","2","2","200768","1610612761"
"11","17","10:29","[PHI] Johnson 3pt Shot: Missed","-65","254","3","0","1","2","","1610612755","101161","2","2","","1610612755"
"12","18","10:25","[TOR] Ibaka Rebound (Off:0 Def:1)","65","582","0","0","0","4","","1610612761","201586","2","2","","1610612755"
"13","19","10:20","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","2","","1610612761"
"14","20","10:14","[TOR 4-2] Ibaka Turnaround Jump Shot: Made (2 PTS)","-52","111","2","0","47","1","","1610612761","201586","4","2","","1610612761"
"15","21","09:58","[PHI] Simmons Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","-65","31","0","0","45","5","","1610612755","1627732","4","2","","1610612755"
"16","22","09:53","[PHI] Covington Foul: Shooting (1 PF) (2 FTA)","-81","654","0","0","2","6","201942","1610612755","203496","4","2","","1610612761"
"17","24","09:53","[TOR 5-2] DeRozan Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612761","201942","5","2","","1610612761"
"18","25","09:53","[TOR 6-2] DeRozan Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612761","201942","6","2","","1610612761"
"19","26","09:42","[PHI] Redick Pullup Jump shot: Missed","110","177","2","0","79","2","1626181","1610612755","200755","6","2","","1610612755"
"20","28","09:42","[PHI] Team Rebound","110","177","1","0","0","4","","1610612755","0","6","2","","1610612755"
"21","29","09:40","[TOR] Lowry Foul: Shooting (1 PF) (2 FTA)","-36","827","0","0","2","6","201573","1610612761","200768","6","2","","1610612755"
"22","31","09:40","[PHI 3-6] Bayless Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612755","201573","6","3","","1610612755"
"23","32","09:40","[PHI 4-6] Bayless Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612755","201573","6","4","","1610612755"
"24","33","09:30","[TOR 9-4] Ibaka 3pt Shot: Made (5 PTS)","133","231","3","0","80","1","","1610612761","201586","9","4","","1610612761"
"25","34","09:16","[PHI 6-9] Simmons Driving Reverse Layup Shot: Made (2 PTS)","14","5","2","0","73","1","","1610612755","1627732","9","6","","1610612755"
"26","35","09:09","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","9","6","","1610612761"
"27","36","09:05","[TOR 11-6] Valanciunas Jump Shot: Made (2 PTS) Assist: Ibaka (1 AST)","-39","26","2","0","1","1","","1610612761","202685","11","6","201586","1610612761"
"28","38","08:53","[PHI] Bayless Driving Reverse Layup Shot: Missed","-11","4","2","0","73","2","","1610612755","201573","11","6","","1610612755"
"29","39","08:53","[TOR] Valanciunas Rebound (Off:0 Def:1)","11","831","0","0","0","4","","1610612761","202685","11","6","","1610612755"
"30","40","08:48","[TOR] Ibaka Turnover : Step Out of Bounds Turnover (1 TO)","-237","36","0","0","39","5","","1610612761","201586","11","6","","1610612761"
"31","41","08:36","[PHI 8-11] Simmons Pullup Jump shot: Made (4 PTS)","72","122","2","0","79","1","","1610612755","1627732","11","8","","1610612755"
"32","42","08:25","[PHI] Johnson Foul: Personal (1 PF)","-59","579","0","0","1","6","202685","1610612755","101161","11","8","","1610612761"
"33","44","08:17","[TOR] Ibaka 3pt Shot: Missed","114","226","3","0","1","2","","1610612761","201586","11","8","","1610612761"
"34","45","08:13","[PHI] Bayless Rebound (Off:0 Def:1)","-114","609","0","0","0","4","","1610612755","201573","11","8","","1610612761"
"35","46","08:08","[PHI 11-11] Bayless 3pt Shot: Made (5 PTS) Assist: Simmons (2 AST)","101","257","3","0","79","1","","1610612755","201573","11","11","1627732","1610612755"
"36","48","07:55","[TOR] Powell Driving Layup Shot: Missed","18","11","2","0","6","2","","1610612761","1626181","11","11","","1610612761"
"37","49","07:53","[PHI] Redick Rebound (Off:0 Def:1)","-18","824","0","0","0","4","","1610612755","200755","11","11","","1610612761"
"38","50","07:53","[TOR] Powell Foul: Personal Block (1 PF)","62","-30","0","0","27","6","200755","1610612761","1626181","11","11","","1610612755"
"39","52","07:43","[PHI] Covington Turnaround Fadeaway shot: Missed","116","15","2","0","86","2","","1610612755","203496","11","11","","1610612755"
"40","53","07:41","[TOR] Lowry Rebound (Off:0 Def:1)","-116","820","0","0","0","4","","1610612761","200768","11","11","","1610612755"
"41","54","07:35","[TOR 13-11] Valanciunas Alley Oop Dunk Shot: Made (4 PTS) Assist: Lowry (2 AST)","5","9","2","0","52","1","","1610612761","202685","13","11","200768","1610612761"
"42","56","07:27","[PHI] Covington Alley Oop Layup shot: Missed","23","-2","2","0","43","2","","1610612755","203496","13","11","","1610612755"
"43","57","07:26","[TOR] Ibaka Rebound (Off:0 Def:2)","-23","838","0","0","0","4","","1610612761","201586","13","11","","1610612755"
"44","58","07:20","[TOR] Lowry Turnover : Bad Pass (1 TO) Steal:Johnson (1 ST)","-44","121","1","0","1","5","101161","1610612761","200768","13","11","","1610612761"
"45","60","07:12","[PHI] Redick Fadeaway Jump Shot: Missed","-116","19","2","0","63","2","","1610612755","200755","13","11","","1610612755"
"46","61","07:07","[TOR] Valanciunas Rebound (Off:0 Def:2)","116","817","0","0","0","4","","1610612761","202685","13","11","","1610612755"
"47","62","07:02","[TOR] Powell 3pt Shot: Missed","131","239","3","0","2","2","","1610612761","1626181","13","11","","1610612761"
"48","63","07:02","[PHI] Covington Rebound (Off:0 Def:2)","-131","597","0","0","0","4","","1610612755","203496","13","11","","1610612761"
"49","64","06:45","[PHI] Redick Driving Floating Jump Shot: Missed","-70","51","2","0","101","2","","1610612755","200755","13","11","","1610612755"
"50","65","06:41","[TOR] Valanciunas Rebound (Off:0 Def:3)","70","785","0","0","0","4","","1610612761","202685","13","11","","1610612755"
"51","66","06:33","[TOR] DeRozan Foul: Offensive Charge (1 PF)","-14","96","0","0","26","6","101161","1610612761","201942","13","11","","1610612761"
"52","68","06:33","[TOR] DeRozan Turnover : Offensive Foul Turnover (1 TO)","-14","96","0","0","37","5","","1610612761","201942","13","11","","1610612761"
"53","69","06:33","[TOR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612761","1610612761","13","11","","1610612755"
"54","73","06:33","[PHI] Simmons Substitution replaced by McConnell","0","-80","0","0","0","8","","1610612755","1627732","13","11","204456","1610612755"
"55","74","06:33","[PHI] Johnson Substitution replaced by Saric","0","-80","0","0","0","8","","1610612755","101161","13","11","203967","1610612755"
"56","75","06:33","[PHI] Bayless Substitution replaced by Okafor","0","-80","0","0","0","8","","1610612755","201573","13","11","1626143","1610612755"
"57","76","06:16","[PHI] Covington Cutting Layup Shot: Missed","16","3","2","0","98","2","","1610612755","203496","13","11","","1610612755"
"58","77","06:14","[PHI] Saric Rebound (Off:1 Def:0)","16","3","1","0","0","4","","1610612755","203967","13","11","","1610612755"
"59","78","06:12","[PHI] Saric Hook Shot: Missed","-14","24","2","0","3","2","","1610612755","203967","13","11","","1610612755"
"60","79","06:12","[PHI] Okafor Rebound (Off:1 Def:0)","-14","24","1","0","0","4","","1610612755","1626143","13","11","","1610612755"
"61","80","06:07","[PHI 13-13] Okafor Turnaround Hook Shot: Made (2 PTS)","0","30","2","0","58","1","","1610612755","1626143","13","13","","1610612755"
"62","81","05:50","[PHI] Okafor Foul: Shooting (1 PF) (2 FTA)","17","787","0","0","2","6","201586","1610612755","1626143","13","13","","1610612761"
"63","83","05:50","[TOR 14-13] Ibaka Free Throw 1 of 2 (6 PTS)","0","-80","1","0","11","3","","1610612761","201586","14","13","","1610612761"
"64","84","05:50","[TOR 15-13] Ibaka Free Throw 2 of 2 (7 PTS)","0","-80","1","0","12","3","","1610612761","201586","15","13","","1610612761"
"65","85","05:36","[PHI 15-15] Covington Pullup Jump shot: Made (2 PTS) Assist: Saric (1 AST)","-107","124","2","0","79","1","","1610612755","203496","15","15","203967","1610612755"
"66","86","05:19","[TOR] Lowry 3pt Shot: Missed","141","226","3","0","1","2","","1610612761","200768","15","15","","1610612761"
