"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:54","Jump Ball Whiteside vs Vucevic (Waiters gains possession)","0","-80","0","0","0","10","202696","1610612748","202355","0","0","203079","1610612748"
"3","7","11:46","[MIA] Olynyk 3pt Shot: Missed","-229","11","3","0","1","2","","1610612748","203482","0","0","","1610612748"
"4","8","11:36","[ORL] Ross Rebound (Off:0 Def:6)","229","824","0","0","0","4","","1610612753","203082","0","0","","1610612748"
"5","9","11:29","[ORL] Ross 3pt Shot: Missed","90","260","3","0","1","2","","1610612753","203082","0","0","","1610612753"
"6","10","11:27","[MIA] Whiteside Rebound (Off:5 Def:17)","-90","576","0","0","0","4","","1610612748","202355","0","0","","1610612753"
"7","11","11:19","[MIA] G Dragic Jump Shot: Missed","123","101","2","0","1","2","","1610612748","201609","0","0","","1610612748"
"8","12","11:10","[MIA] Whiteside Rebound (Off:5 Def:17)","123","101","1","0","0","4","","1610612748","202355","0","0","","1610612748"
"9","13","11:10","[MIA] Whiteside Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612748","202355","0","0","","1610612748"
"10","14","11:10","[ORL] Vucevic Rebound (Off:2 Def:11)","0","841","0","0","0","4","","1610612753","202696","0","0","","1610612748"
"11","15","11:10","[MIA] Olynyk Foul: Personal (1 PF)","-7","607","0","0","1","6","203901","1610612748","203482","0","0","","1610612753"
"12","17","11:09","[ORL] Ross Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","1","67","0","0","45","5","","1610612753","203082","0","0","","1610612753"
"13","18","10:56","[MIA] Whiteside Floating Jump shot: Missed","6","69","2","0","78","2","","1610612748","202355","0","0","","1610612748"
"14","19","10:52","[MIA] Whiteside Rebound (Off:5 Def:17)","6","69","1","0","0","4","","1610612748","202355","0","0","","1610612748"
"15","20","10:50","[MIA 2-0] G Dragic Jump Shot: Made (17 PTS) Assist: Whiteside (1 AST)","-83","205","2","0","1","1","","1610612748","201609","0","2","202355","1610612748"
"16","22","10:42","[ORL] Vucevic 3pt Shot: Missed","-5","266","3","0","1","2","","1610612753","202696","0","2","","1610612753"
"17","23","10:42","[MIA] Whiteside Rebound (Off:5 Def:17)","5","570","0","0","0","4","","1610612748","202355","0","2","","1610612753"
"18","24","10:32","[MIA 4-0] Waiters Driving Layup Shot: Made (15 PTS)","-1","19","2","0","6","1","","1610612748","203079","0","4","","1610612748"
"19","25","10:27","Stoppage: Blood Rule","0","-80","0","0","1","20","","0","0","0","4","","1610612753"
"20","26","10:16","[ORL] Fournier Jump Shot: Missed","-15","67","2","0","1","2","1626196","1610612753","203095","0","4","","1610612753"
"21","28","10:16","[ORL] Team Rebound","-15","67","1","0","0","4","","1610612753","0","0","4","","1610612753"
"22","29","10:10","[ORL 2-4] Fournier Driving Hook Shot: Made (23 PTS) Assist: Payton (1 AST)","1","73","2","0","57","1","","1610612753","203095","2","4","203901","1610612753"
"23","31","09:55","[MIA] Olynyk Finger Roll Layup Shot: Missed","4","36","2","0","71","2","","1610612748","203482","2","4","","1610612748"
"24","32","09:53","[ORL] Gordon Rebound (Off:2 Def:7)","-4","800","0","0","0","4","","1610612753","203932","2","4","","1610612748"
"25","33","09:48","[ORL] Gordon Driving Layup Shot: Missed","-2","34","2","1","6","2","","1610612753","203932","2","4","","1610612753"
"26","34","09:45","[MIA] Whiteside Rebound (Off:5 Def:17)","2","802","0","0","0","4","","1610612748","202355","2","4","","1610612753"
"27","36","09:43","[MIA 6-2] Olynyk Layup Shot: Made (10 PTS) Assist: G Dragic (1 AST)","6","25","2","0","5","1","","1610612748","203482","2","6","201609","1610612748"
"28","38","09:29","[ORL 4-6] Vucevic Dunk Shot: Made (19 PTS) Assist: Ross (1 AST)","-2","6","2","0","7","1","","1610612753","202696","4","6","203082","1610612753"
"29","40","09:04","[MIA] Waiters Hook Shot: Missed","-2","78","2","0","3","2","203932","1610612748","203079","4","6","","1610612748"
"30","42","09:00","[ORL] Payton Rebound (Off:0 Def:3)","2","758","0","0","0","4","","1610612753","203901","4","6","","1610612748"
"31","43","08:58","[ORL 6-6] Gordon Running Dunk Shot: Made (14 PTS) Assist: Payton (2 AST)","0","25","2","1","50","1","","1610612753","203932","6","6","203901","1610612753"
"32","45","08:41","[MIA 8-6] Whiteside Hook Shot: Made (26 PTS) Assist: Richardson (1 AST)","-55","20","2","0","3","1","","1610612748","202355","6","8","1626196","1610612748"
"33","47","08:24","[ORL 8-8] Vucevic Jump Shot: Made (19 PTS) Assist: Payton (3 AST)","132","139","2","0","1","1","","1610612753","202696","8","8","203901","1610612753"
"34","49","08:10","[ORL] Payton Foul: Shooting (1 PF) (2 FTA)","55","802","0","0","2","6","201609","1610612753","203901","8","8","","1610612748"
"35","51","08:10","[MIA 9-8] G Dragic Free Throw 1 of 2 (17 PTS)","0","-80","1","0","11","3","","1610612748","201609","8","9","","1610612748"
"36","52","08:10","[MIA 10-8] G Dragic Free Throw 2 of 2 (17 PTS)","0","-80","1","0","12","3","","1610612748","201609","8","10","","1610612748"
"37","53","08:01","[ORL 10-10] Payton Floating Jump shot: Made (13 PTS)","5","115","2","0","78","1","","1610612753","203901","10","10","","1610612753"
"38","54","07:49","[MIA 12-10] Whiteside Layup Shot: Made (26 PTS) Assist: G Dragic (2 AST)","4","21","2","0","5","1","","1610612748","202355","10","12","201609","1610612748"
"39","56","07:39","[ORL 12-12] Ross Jump Shot: Made (15 PTS) Assist: Payton (4 AST)","2","224","2","0","1","1","","1610612753","203082","12","12","203901","1610612753"
"40","58","07:26","[MIA] G Dragic Driving Layup Shot: Missed","-2","46","2","0","6","2","203932","1610612748","201609","12","12","","1610612748"
"41","60","07:22","[ORL] Gordon Rebound (Off:2 Def:7)","2","790","0","0","0","4","","1610612753","203932","12","12","","1610612748"
"42","61","07:17","[ORL] Payton Turnover : Bad Pass (1 TO) Steal:Waiters (1 ST)","3","82","1","0","1","5","203079","1610612753","203901","12","12","","1610612753"
"43","63","07:13","[MIA] Olynyk Layup Shot: Missed","4","19","2","0","5","2","202696","1610612748","203482","12","12","","1610612748"
"44","65","07:09","[ORL] Vucevic Rebound (Off:2 Def:11)","-4","817","0","0","0","4","","1610612753","202696","12","12","","1610612748"
"45","66","07:07","[ORL 15-12] Gordon 3pt Shot: Made (14 PTS)","-143","224","3","1","1","1","","1610612753","203932","15","12","","1610612753"
"46","67","06:46","[ORL] Gordon Foul: Shooting (1 PF) (2 FTA)","1","747","0","0","2","6","203482","1610612753","203932","15","12","","1610612748"
"47","69","06:46","[ORL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612753","1610612753","15","12","","1610612748"
"48","70","06:46","[MIA 13-15] Olynyk Free Throw 1 of 2 (10 PTS)","0","-80","1","0","11","3","","1610612748","203482","15","13","","1610612748"
"49","71","06:46","[MIA 14-15] Olynyk Free Throw 2 of 2 (10 PTS)","0","-80","1","0","12","3","","1610612748","203482","15","14","","1610612748"
"50","72","06:34","[ORL] Gordon Jump Shot: Missed","-98","160","2","0","1","2","","1610612753","203932","15","14","","1610612753"
"51","73","06:31","[MIA] G Dragic Rebound (Off:3 Def:2)","98","676","0","0","0","4","","1610612748","201609","15","14","","1610612753"
