"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Lopez vs Chandler (Nance Jr. gains possession)","0","-80","0","0","0","10","2199","1610612747","201572","0","0","1626204","1610612747"
"3","7","11:44","[LAL 2-0] Ingram Driving Layup Shot: Made (2 PTS)","7","5","2","0","6","1","","1610612747","1627742","0","2","","1610612747"
"4","8","11:24","[PHX] Booker Jump Bank Shot: Missed","-78","21","2","0","66","2","","1610612756","1626164","0","2","","1610612756"
"5","9","11:21","[LAL] Lopez Rebound (Off:0 Def:1)","109","816","0","0","0","4","","1610612747","201572","0","2","","1610612756"
"6","10","11:11","[LAL 4-0] Ingram Floating Jump shot: Made (4 PTS)","-38","70","2","0","78","1","","1610612747","1627742","0","4","","1610612747"
"7","11","11:09","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","4","","1610612756"
"8","12","10:50","[PHX] Jackson Driving Finger Roll Layup Shot: Missed","-5","14","2","0","75","2","","1610612756","1628367","0","4","","1610612756"
"9","13","10:50","[LAL] Team Rebound","5","822","0","0","0","4","","1610612747","0","0","4","","1610612756"
"10","14","10:38","[LAL 6-0] Lopez Driving Layup Shot: Made (2 PTS)","1","9","2","0","6","1","","1610612747","201572","0","6","","1610612747"
"11","15","10:38","[PHX] Chandler Foul: Shooting (1 PF) (1 FTA)","-1","827","0","0","2","6","201572","1610612756","2199","0","6","","1610612756"
"12","17","10:38","[LAL] Lopez Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612747","201572","0","6","","1610612747"
"13","18","10:36","[PHX] Chandler Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612756","2199","0","6","","1610612747"
"14","19","10:31","[PHX] Bledsoe Running Layup Shot: Missed","-3","10","2","1","41","2","","1610612756","202339","0","6","","1610612756"
"15","20","10:29","[LAL] Nance Jr. Rebound (Off:0 Def:1)","3","826","0","0","0","4","","1610612747","1626204","0","6","","1610612756"
"16","21","10:24","[LAL] Brewer Running Layup Shot: Missed","3","2","2","0","41","2","","1610612747","201147","0","6","","1610612747"
"17","23","10:24","[PHX] Booker Rebound (Off:0 Def:1)","-3","834","0","0","0","4","","1610612756","1626164","0","6","","1610612747"
"18","24","10:17","[PHX 2-6] Booker Running Layup Shot: Made (2 PTS)","-1","4","2","1","41","1","","1610612756","1626164","2","6","","1610612756"
"19","25","10:02","[PHX] Jackson Foul: Shooting (1 PF) (2 FTA)","-61","801","0","0","2","6","1626204","1610612756","1628367","2","6","","1610612747"
"20","27","10:02","[LAL 7-2] Nance Jr. Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612747","1626204","2","7","","1610612747"
"21","28","10:02","[LAL 8-2] Nance Jr. Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612747","1626204","2","8","","1610612747"
"22","29","09:57","[LAL] Brewer Foul: Personal Block (1 PF)","-117","614","0","0","27","6","202339","1610612747","201147","2","8","","1610612756"
"23","31","09:47","[LAL] Ball Foul: Shooting (1 PF) (2 FTA)","-76","766","0","0","2","6","1626164","1610612747","1628366","2","8","","1610612756"
"24","33","09:47","[PHX] Booker Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612756","1626164","2","8","","1610612756"
"25","34","09:47","[PHX] Team Rebound","0","-80","1","0","1","4","","1610612756","0","2","8","","1610612756"
"26","35","09:47","[PHX 3-8] Booker Free Throw 2 of 2 (3 PTS)","0","-80","1","0","12","3","","1610612756","1626164","3","8","","1610612756"
"27","36","09:37","[LAL] Nance Jr. Fadeaway Jump Shot: Missed","97","37","2","0","63","2","","1610612747","1626204","3","8","","1610612747"
"28","37","09:34","[PHX] Warren Rebound (Off:0 Def:1)","-97","799","0","0","0","4","","1610612756","203933","3","8","","1610612747"
"29","38","09:30","[PHX 5-8] Chandler Running Alley Oop Dunk Shot: Made (2 PTS) Assist: Warren (1 AST)","-7","5","2","0","106","1","","1610612756","2199","5","8","203933","1610612756"
"30","40","09:19","[LAL 10-5] Nance Jr. Alley Oop Layup shot: Made (4 PTS) Assist: Ball (1 AST)","3","9","2","0","43","1","","1610612747","1626204","5","10","1628366","1610612747"
"31","42","09:14","[LAL] Nance Jr. Foul: Shooting (1 PF) (2 FTA)","93","708","0","0","2","6","1628367","1610612747","1626204","5","10","","1610612756"
"32","44","09:14","[PHX 6-10] Jackson Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612756","1628367","6","10","","1610612756"
"33","45","09:14","[PHX] Jackson Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612756","1628367","6","10","","1610612756"
"34","46","09:12","[LAL] Ball Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","1628366","6","10","","1610612756"
"35","47","09:09","[LAL 12-6] Ingram Running Dunk Shot: Made (6 PTS) Assist: Brewer (1 AST)","2","12","2","1","50","1","","1610612747","1627742","6","12","201147","1610612747"
"36","49","09:09","[PHX] Jackson Foul: Shooting (2 PF) (1 FTA)","-2","824","0","0","2","6","1627742","1610612756","1628367","6","12","","1610612756"
"37","51","09:09","[LAL 13-6] Ingram Free Throw 1 of 1 (7 PTS)","0","-80","1","1","10","3","","1610612747","1627742","6","13","","1610612747"
"38","52","08:58","[PHX] Warren Cutting Layup Shot: Missed","2","-4","2","0","98","2","","1610612756","203933","6","13","","1610612756"
"39","53","08:57","[PHX] Chandler Rebound (Off:1 Def:1)","2","-4","1","0","0","4","","1610612756","2199","6","13","","1610612756"
"40","62","08:57","[PHX] Chandler Tip Layup Shot: Missed","-5","9","2","0","97","2","","1610612756","2199","6","13","","1610612756"
"41","63","08:57","[PHX] Chandler Rebound (Off:2 Def:1)","-5","9","1","0","0","4","","1610612756","2199","6","13","","1610612756"
"42","54","08:55","[LAL] Lopez Foul: Shooting (1 PF) (2 FTA)","1","834","0","0","2","6","2199","1610612747","201572","6","13","","1610612756"
"43","56","08:55","[PHX] Chandler Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612756","2199","6","13","","1610612756"
"44","57","08:55","[PHX] Team Rebound","0","-80","1","0","1","4","","1610612756","0","6","13","","1610612756"
"45","58","08:55","[PHX 7-13] Chandler Free Throw 2 of 2 (3 PTS)","0","-80","1","0","12","3","","1610612756","2199","7","13","","1610612756"
"46","59","08:44","[LAL] Ingram Pullup Jump shot: Missed","1","144","2","0","79","2","","1610612747","1627742","7","13","","1610612747"
"47","60","08:44","[PHX] Chandler Rebound (Off:2 Def:2)","-1","692","0","0","0","4","","1610612756","2199","7","13","","1610612747"
"48","61","08:38","[PHX 10-13] Booker 3pt Shot: Made (6 PTS)","113","237","3","0","1","1","","1610612756","1626164","10","13","","1610612756"
"49","64","08:29","[LAL] Ball Running Layup Shot: Missed","-3","10","2","0","41","2","2199","1610612747","1628366","10","13","","1610612747"
"50","66","08:29","[PHX] Booker Rebound (Off:0 Def:2)","3","825","0","0","0","4","","1610612756","1626164","10","13","","1610612747"
"51","67","08:15","[PHX] Warren Driving Floating Jump Shot: Missed","11","64","2","0","101","2","","1610612756","203933","10","13","","1610612756"
"52","68","08:13","[LAL] Nance Jr. Rebound (Off:0 Def:2)","-11","771","0","0","0","4","","1610612747","1626204","10","13","","1610612756"
"53","69","08:05","[LAL 16-10] Ingram 3pt Shot: Made (10 PTS) Assist: Ball (2 AST)","175","193","3","0","1","1","","1610612747","1627742","10","16","1628366","1610612747"
"54","71","07:46","[PHX 13-16] Bledsoe 3pt Shot: Made (3 PTS)","-172","192","3","0","1","1","","1610612756","202339","13","16","","1610612756"
"55","72","07:32","[LAL] Ball 3pt Shot: Missed","232","-3","3","0","1","2","","1610612747","1628366","13","16","","1610612747"
"56","73","07:29","[PHX] Booker Rebound (Off:0 Def:3)","-232","839","0","0","0","4","","1610612756","1626164","13","16","","1610612747"
"57","74","07:24","[PHX] Bledsoe 3pt Shot: Missed","228","20","3","1","2","2","","1610612756","202339","13","16","","1610612756"
"58","75","07:22","[LAL] Ball Rebound (Off:0 Def:2)","-228","816","0","0","0","4","","1610612747","1628366","13","16","","1610612756"
"59","76","07:20","[PHX] Chandler Foul: Shooting (2 PF) (2 FTA)","-20","818","0","0","2","6","1628366","1610612756","2199","13","16","","1610612747"
"60","78","07:20","[LAL 17-13] Ball Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612747","1628366","13","17","","1610612747"
"61","81","07:20","[PHX] Warren Substitution replaced by Chriss","0","-80","0","0","0","8","","1610612756","203933","13","17","1627737","1610612747"
"62","82","07:20","[PHX] Bledsoe Substitution replaced by James","0","-80","0","0","0","8","","1610612756","202339","13","17","1628455","1610612747"
"63","83","07:20","[LAL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612747","1610612747","13","17","","1610612747"
"64","84","07:20","[LAL] Ball Free Throw 2 of 2 Missed","0","-80","2","1","12","3","","1610612747","1628366","13","17","","1610612747"
"65","85","07:18","[PHX] Chriss Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612756","1627737","13","17","","1610612747"
"66","86","07:08","[PHX 16-17] Jackson 3pt Shot: Made (4 PTS) Assist: Booker (1 AST)","129","218","3","0","1","1","","1610612756","1628367","16","17","1626164","1610612756"
"67","88","06:58","[LAL] Nance Jr. Turnover : Traveling (1 TO)","2","162","0","0","4","5","","1610612747","1626204","16","17","","1610612747"
"68","89","06:45","[PHX] Jackson Turnover : Bad Pass (1 TO) Steal:Brewer (1 ST)","76","-17","1","0","1","5","201147","1610612756","1628367","16","17","","1610612756"
"69","91","06:43","[LAL 19-16] Brewer Running Layup Shot: Made (2 PTS)","2","14","2","0","41","1","","1610612747","201147","16","19","","1610612747"
"70","103","06:43","[PHX] Chriss Violation:Defensive Goaltending","0","-80","0","0","2","7","","1610612756","1627737","16","19","","1610612756"
"71","94","06:32","[PHX 18-19] Booker Jump Shot: Made (8 PTS)","130","29","2","0","1","1","","1610612756","1626164","18","19","","1610612756"
"72","95","06:18","[PHX] Chandler Foul: Personal (3 PF) (2 FTA)","-85","743","0","0","1","6","201572","1610612756","2199","18","19","","1610612747"
"73","97","06:18","[LAL 20-18] Lopez Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612747","201572","18","20","","1610612747"
"74","99","06:18","[PHX] Chandler Substitution replaced by Len","0","-80","0","0","0","8","","1610612756","2199","18","20","203458","1610612747"
"75","100","06:18","[LAL 21-18] Lopez Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612747","201572","18","21","","1610612747"
"76","101","06:07","[PHX 21-21] Jackson 3pt Shot: Made (7 PTS) Assist: Booker (2 AST)","-229","115","3","0","1","1","","1610612756","1628367","21","21","1626164","1610612756"
"77","104","05:44","[LAL] Brewer Driving Layup Shot: Missed","13","17","2","0","6","2","1627737","1610612747","201147","21","21","","1610612747"
"78","106","05:41","[PHX] Len Rebound (Off:0 Def:1)","-13","819","0","0","0","4","","1610612756","203458","21","21","","1610612747"
"79","107","05:26","[PHX] Len Cutting Layup Shot: Missed","4","12","2","0","98","2","","1610612756","203458","21","21","","1610612756"
"80","108","05:25","[PHX] Len Rebound (Off:1 Def:1)","4","12","1","0","0","4","","1610612756","203458","21","21","","1610612756"
"81","123","05:25","[PHX] Len Tip Layup Shot: Missed","4","14","2","0","97","2","","1610612756","203458","21","21","","1610612756"
"82","109","05:24","[PHX 23-21] Len Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612756","203458","23","21","","1610612756"
"83","124","05:24","[PHX] Len Rebound (Off:2 Def:1)","4","14","1","0","0","4","","1610612756","203458","21","21","","1610612756"
"84","111","05:11","[LAL 24-23] Ball 3pt Shot: Made (4 PTS)","199","149","3","0","1","1","","1610612747","1628366","23","24","","1610612747"
"85","112","04:58","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","23","24","","1610612756"
"86","115","04:58","[LAL] Brewer Substitution replaced by Clarkson","0","-80","0","0","0","8","","1610612747","201147","23","24","203903","1610612756"
"87","116","04:58","[LAL] Nance Jr. Substitution replaced by Randle","0","-80","0","0","0","8","","1610612747","1626204","23","24","203944","1610612756"
"88","117","04:51","[PHX] Booker 3pt Shot: Missed","134","218","3","0","1","2","","1610612756","1626164","23","24","","1610612756"
"89","118","04:51","[LAL] Ball Rebound (Off:0 Def:3)","-134","618","0","0","0","4","","1610612747","1628366","23","24","","1610612756"
"90","119","04:44","[PHX] Len Foul: Shooting (1 PF) (2 FTA)","6","786","0","0","2","6","203944","1610612756","203458","23","24","","1610612747"
"91","121","04:44","[LAL] Randle Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612747","203944","23","24","","1610612747"
"92","122","04:44","[LAL] Team Rebound","0","-80","1","0","1","4","","1610612747","0","23","24","","1610612747"
