"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:52","Jump Ball Jordan vs Gasol (Beverley gains possession)","0","-80","0","0","0","10","2200","1610612746","201599","0","0","201976","1610612746"
"3","7","11:36","[LAC] Rivers Turnover : Bad Pass (1 TO) Steal:Mills (1 ST)","12","261","1","0","1","5","201988","1610612746","203085","0","0","","1610612746"
"4","9","11:32","[SAS 2-0] Green Finger Roll Layup Shot: Made (2 PTS) Assist: Mills (1 AST)","13","9","2","1","71","1","","1610612759","201980","2","0","201988","1610612759"
"5","11","11:18","[LAC 2-2] Beverley Floating Jump shot: Made (2 PTS)","78","41","2","0","78","1","","1610612746","201976","2","2","","1610612746"
"6","12","11:02","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","2","","1610612759"
"7","13","10:57","[SAS] Gasol Turnover : Lost Ball (1 TO) Steal:Rivers (1 ST)","-39","199","1","0","2","5","203085","1610612759","2200","2","2","","1610612759"
"8","15","10:52","[LAC 4-2] Beverley Running Layup Shot: Made (4 PTS)","-16","-1","2","0","41","1","","1610612746","201976","2","4","","1610612746"
"9","16","10:32","[SAS 4-4] Anderson Driving Hook Shot: Made (2 PTS)","10","66","2","0","57","1","","1610612759","203937","4","4","","1610612759"
"10","17","10:16","[LAC 6-4] Johnson Fadeaway Jump Shot: Made (2 PTS)","-96","25","2","0","63","1","","1610612746","202325","4","6","","1610612746"
"11","19","09:59","[SAS] Gasol 3pt Shot: Missed","226","16","3","0","1","2","","1610612759","2200","4","6","","1610612759"
"12","20","09:57","[SAS] Anderson Rebound (Off:1 Def:0)","226","16","1","0","0","4","","1610612759","203937","4","6","","1610612759"
"13","21","09:53","[SAS 7-6] Green 3pt Shot: Made (5 PTS) Assist: Anderson (1 AST)","-166","199","3","0","1","1","","1610612759","201980","7","6","203937","1610612759"
"14","23","09:43","[LAC 9-7] Griffin 3pt Shot: Made (3 PTS) Assist: Beverley (1 AST)","-130","205","3","0","1","1","","1610612746","201933","7","9","201976","1610612746"
"15","25","09:29","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","7","9","","1610612759"
"16","26","09:27","[SAS] Mills 3pt Shot: Missed","-139","222","3","0","1","2","","1610612759","201988","7","9","","1610612759"
"17","27","09:23","[LAC] Jordan Rebound (Off:0 Def:1)","-139","222","0","0","0","4","","1610612746","201599","7","9","","1610612759"
"18","28","09:16","[LAC] Beverley Driving Floating Jump Shot: Missed","43","96","2","0","101","2","","1610612746","201976","7","9","","1610612746"
"19","29","09:11","[SAS] Mills Rebound (Off:0 Def:1)","43","96","0","0","0","4","","1610612759","201988","7","9","","1610612746"
"20","30","08:52","[SAS 9-9] Mills Jump Shot: Made (2 PTS) Assist: Gasol (1 AST)","203","1","2","0","1","1","","1610612759","201988","9","9","2200","1610612759"
"21","32","08:36","[LAC] Johnson 3pt Shot: Missed","-79","234","3","0","1","2","","1610612746","202325","9","9","","1610612746"
"22","33","08:33","[SAS] Mills Rebound (Off:0 Def:2)","-79","234","0","0","0","4","","1610612759","201988","9","9","","1610612746"
"23","34","08:24","[SAS] Mills Pullup Jump shot: Missed","-158","151","2","0","79","2","","1610612759","201988","9","9","","1610612759"
"24","35","08:22","[LAC] Jordan Rebound (Off:0 Def:2)","-158","151","0","0","0","4","","1610612746","201599","9","9","","1610612759"
"25","36","08:10","[LAC 11-9] Johnson Dunk Shot: Made (4 PTS) Assist: Griffin (1 AST)","5","0","2","0","7","1","","1610612746","202325","9","11","201933","1610612746"
"26","38","07:57","[SAS 12-11] Gasol 3pt Shot: Made (3 PTS) Assist: Anderson (2 AST)","230","-10","3","0","1","1","","1610612759","2200","12","11","203937","1610612759"
"27","40","07:34","[LAC] Jordan Turnover : 3 Second Violation (1 TO)","-2","50","0","0","8","5","","1610612746","201599","12","11","","1610612746"
"28","41","07:19","[SAS 15-11] Aldridge 3pt Shot: Made (3 PTS) Assist: Green (1 AST)","-232","85","3","0","1","1","","1610612759","200746","15","11","201980","1610612759"
"29","43","07:10","[LAC] Griffin 3pt Shot: Missed","116","225","3","0","1","2","","1610612746","201933","15","11","","1610612746"
"30","44","07:06","[SAS] Gasol Rebound (Off:0 Def:1)","116","225","0","0","0","4","","1610612759","2200","15","11","","1610612746"
"31","45","06:55","[SAS] Aldridge Turnaround Jump Shot: Missed","-89","37","2","0","47","2","","1610612759","200746","15","11","","1610612759"
"32","46","06:53","[LAC] Johnson Rebound (Off:0 Def:1)","-89","37","0","0","0","4","","1610612746","202325","15","11","","1610612759"
"33","47","06:51","[SAS] Gasol Foul: Shooting (1 PF)","-22","783","0","0","2","6","201933","1610612759","2200","15","11","","1610612746"
"34","49","06:51","[SAS] Team Timeout : Regular","0","-80","0","0","1","9","","1610612759","1610612759","15","11","","1610612746"
"35","51","06:51","[LAC 12-15] Griffin Free Throw 2 of 2 (4 PTS)","0","-80","1","1","12","3","","1610612746","201933","15","12","","1610612746"
"36","50","06:51","[LAC 13-15] Griffin Free Throw 1 of 2 (5 PTS)","0","-80","1","0","11","3","","1610612746","201933","15","13","","1610612746"
"37","52","06:40","[SAS 17-13] Aldridge Jump Shot: Made (5 PTS) Assist: Mills (2 AST)","-119","157","2","0","1","1","","1610612759","200746","17","13","201988","1610612759"
"38","54","06:15","[LAC 15-17] Jordan Alley Oop Dunk Shot: Made (2 PTS) Assist: Rivers (1 AST)","-8","23","2","0","52","1","","1610612746","201599","17","15","203085","1610612746"
"39","56","06:07","[LAC] Beverley Foul: Personal (1 PF)","-33","279","0","0","1","6","201988","1610612746","201976","17","15","","1610612759"
"40","58","06:04","[SAS 19-15] Green Driving Reverse Layup Shot: Made (7 PTS) Assist: Anderson (3 AST)","-12","4","2","0","73","1","","1610612759","201980","19","15","203937","1610612759"
"41","60","05:45","[LAC 18-19] Rivers 3pt Shot: Made (3 PTS)","-157","191","3","0","79","1","","1610612746","203085","19","18","","1610612746"
"42","61","05:29","[SAS] Mills 3pt Shot: Missed","44","243","3","0","1","2","","1610612759","201988","19","18","","1610612759"
"43","62","05:26","[LAC] Griffin Rebound (Off:0 Def:1)","44","243","0","0","0","4","","1610612746","201933","19","18","","1610612759"
"44","63","05:18","[LAC 21-19] Johnson 3pt Shot: Made (7 PTS) Assist: Griffin (2 AST)","-225","9","3","0","1","1","","1610612746","202325","19","21","201933","1610612746"
"45","65","05:00","[SAS] Aldridge Turnaround Jump Shot: Missed","-101","71","2","0","47","2","","1610612759","200746","19","21","","1610612759"
"46","66","04:56","[LAC] Jordan Rebound (Off:0 Def:3)","-101","71","0","0","0","4","","1610612746","201599","19","21","","1610612759"
"47","67","04:38","[LAC] Rivers 3pt Shot: Missed","165","203","3","0","80","2","","1610612746","203085","19","21","","1610612746"
"48","68","04:33","[SAS] Gasol Rebound (Off:0 Def:2)","165","203","0","0","0","4","","1610612759","2200","19","21","","1610612746"
"49","69","04:24","[SAS] Aldridge Jump Shot: Missed","4","220","2","0","1","2","","1610612759","200746","19","21","","1610612759"
"50","70","04:21","[LAC] Beverley Rebound (Off:0 Def:1)","4","220","0","0","0","4","","1610612746","201976","19","21","","1610612759"
"51","71","04:12","[LAC] Jordan Turnover : 3 Second Violation (2 TO)","17","9","0","0","8","5","","1610612746","201599","19","21","","1610612746"
"52","74","04:12","[SAS] Anderson Substitution replaced by Murray","0","-80","0","0","0","8","","1610612759","203937","19","21","1627749","1610612759"
"53","75","04:12","[SAS] Mills Substitution replaced by Ginobili","0","-80","0","0","0","8","","1610612759","201988","19","21","1938","1610612759"
"54","76","03:56","[SAS 22-21] Green 3pt Shot: Made (10 PTS) Assist: Gasol (2 AST)","-28","256","3","0","79","1","","1610612759","201980","22","21","2200","1610612759"
"55","78","03:44","[LAC] Rivers Floating Jump shot: Missed","74","77","2","0","78","2","","1610612746","203085","22","21","","1610612746"
"56","79","03:41","[SAS] Murray Rebound (Off:0 Def:1)","74","77","0","0","0","4","","1610612759","1627749","22","21","","1610612746"
"57","80","03:36","[SAS 24-21] Ginobili Driving Layup Shot: Made (2 PTS) Assist: Murray (1 AST)","-13","4","2","1","6","1","","1610612759","1938","24","21","1627749","1610612759"
"58","82","03:36","[LAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612746","1610612746","24","21","","1610612746"
"59","86","03:36","[SAS] Gasol Substitution replaced by Gay","0","-80","0","0","0","8","","1610612759","2200","24","21","200752","1610612746"
"60","87","03:36","[LAC] Rivers Substitution replaced by Thornwell","0","-80","0","0","0","8","","1610612746","203085","24","21","1628414","1610612746"
"61","88","03:36","[LAC] Johnson Substitution replaced by Dekker","0","-80","0","0","0","8","","1610612746","202325","24","21","1626155","1610612746"
"62","89","03:17","[LAC] Griffin Layup Shot: Missed","-11","14","2","0","5","2","200746","1610612746","201933","24","21","","1610612746"
"63","91","03:13","[SAS] Gay Rebound (Off:0 Def:1)","-11","14","0","0","0","4","","1610612759","200752","24","21","","1610612746"
"64","92","03:02","[SAS 26-21] Gay Jump Shot: Made (2 PTS) Assist: Ginobili (1 AST)","-150","90","2","0","1","1","","1610612759","200752","26","21","1938","1610612759"
"65","94","02:48","[LAC] Griffin 3pt Shot: Missed","-93","231","3","0","79","2","","1610612746","201933","26","21","","1610612746"
"66","95","02:44","[SAS] Murray Rebound (Off:0 Def:2)","-93","231","0","0","0","4","","1610612759","1627749","26","21","","1610612746"
"67","96","02:37","[SAS] Green Pullup Jump shot: Missed","-3","200","2","0","79","2","","1610612759","201980","26","21","","1610612759"
"68","97","02:35","[LAC] Team Rebound","-3","200","0","0","0","4","","1610612746","0","26","21","","1610612759"
"69","100","02:35","[SAS] Green Substitution replaced by Paul","0","-80","0","0","0","8","","1610612759","201980","26","21","203464","1610612746"
"70","101","02:35","[LAC] Jordan Substitution replaced by Reed","0","-80","0","0","0","8","","1610612746","201599","26","21","203186","1610612746"
"71","102","02:14","[LAC] Beverley Driving Bank Hook Shot: Missed","96","50","2","0","93","2","","1610612746","201976","26","21","","1610612746"
"72","103","02:14","[LAC] Team Rebound","96","50","1","0","0","4","","1610612746","0","26","21","","1610612746"
"73","104","02:14","[SAS] Gay Foul: Personal (1 PF)","13","15","0","0","1","6","203186","1610612759","200752","26","21","","1610612746"
"74","107","02:14","[LAC] Beverley Substitution replaced by Williams","0","-80","0","0","0","8","","1610612746","201976","26","21","101150","1610612746"
"75","108","02:00","[LAC 23-26] Griffin Turnaround Fadeaway shot: Made (7 PTS)","-93","87","2","0","86","1","","1610612746","201933","26","23","","1610612746"
"76","109","01:39","[SAS] Ginobili 3pt Shot: Missed","-228","10","3","0","1","2","","1610612759","1938","26","23","","1610612759"
"77","110","01:36","[LAC] Dekker Rebound (Off:0 Def:1)","-228","10","0","0","0","4","","1610612746","1626155","26","23","","1610612759"
"78","111","01:31","[LAC] Williams Turnover : Bad Pass (1 TO) Steal:Murray (1 ST)","-97","34","1","0","1","5","1627749","1610612746","101150","26","23","","1610612746"
"79","113","01:21","[SAS 28-23] Aldridge Pullup Jump shot: Made (7 PTS) Assist: Paul (1 AST)","11","214","2","0","79","1","","1610612759","200746","28","23","203464","1610612759"
"80","115","01:05","[LAC] Williams Pullup Jump shot: Missed","150","-4","2","0","79","2","","1610612746","101150","28","23","","1610612746"
"81","116","01:01","[SAS] Gay Rebound (Off:0 Def:2)","150","-4","0","0","0","4","","1610612759","200752","28","23","","1610612746"
"82","117","00:58.7","[SAS] Gay Layup Shot: Missed","-25","12","2","0","5","2","203186","1610612759","200752","28","23","","1610612759"
"83","119","00:58.7","[LAC] Dekker Rebound (Off:0 Def:2)","-25","12","0","0","0","4","","1610612746","1626155","28","23","","1610612759"
"84","120","00:49.6","[LAC] Dekker 3pt Shot: Missed","-226","26","3","0","1","2","","1610612746","1626155","28","23","","1610612746"
"85","121","00:49.6","[SAS] Gay Rebound (Off:0 Def:3)","-226","26","0","0","0","4","","1610612759","200752","28","23","","1610612746"
"86","122","00:41.4","[LAC] Dekker Foul: Personal (1 PF)","13","103","0","0","1","6","1627749","1610612746","1626155","28","23","","1610612759"
"87","126","00:41.4","[SAS] Aldridge Substitution replaced by Gasol","0","-80","0","0","0","8","","1610612759","200746","28","23","2200","1610612759"
"88","127","00:41.4","[LAC] Griffin Substitution replaced by Johnson","0","-80","0","0","0","8","","1610612746","201933","28","23","202325","1610612759"
"89","128","00:35.8","[SAS 30-23] Gay Driving Layup Shot: Made (4 PTS) Assist: Gasol (3 AST)","-17","5","2","0","6","1","","1610612759","200752","30","23","2200","1610612759"
"90","130","00:15.0","[LAC 26-30] Williams 3pt Shot: Made (3 PTS)","-93","226","3","0","79","1","","1610612746","101150","30","26","","1610612746"
"91","131","00:06.4","[LAC] Thornwell Foul: Personal (1 PF)","139","269","0","0","1","6","1627749","1610612746","1628414","30","26","","1610612759"
"92","134","00:06.4","[SAS 31-26] Murray Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612759","1627749","31","26","","1610612759"
"93","133","00:06.4","[SAS 32-26] Murray Free Throw 1 of 2 (2 PTS)","0","-80","1","0","11","3","","1610612759","1627749","32","26","","1610612759"
"94","136","00:06.4","[LAC] Dekker Substitution replaced by Rivers","0","-80","0","0","0","8","","1610612746","1626155","32","26","203085","1610612759"
"95","137","00:01.5","[SAS] Murray Foul: Personal (1 PF)","110","733","0","0","1","6","203085","1610612759","1627749","32","26","","1610612759"
"96","139","00:00.0","[LAC] Williams 3pt Shot: Missed","-223","-12","3","0","63","2","","1610612746","101150","32","26","","1610612746"
"97","140","00:00.0","[LAC] Team Rebound","-223","-12","1","0","0","4","","1610612746","0","32","26","","1610612746"
"98","141","00:00.0","End Period","0","-80","0","0","0","13","","0","0","32","26","","1610612746"
"99","142","00:00.0","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","32","26","","1610612746"
"100","143","12:00","Start Period","0","-80","0","0","0","12","","0","0","32","26","","1610612759"
"101","144","11:45","[SAS] Gasol Foul: Offensive Charge (2 PF)","36","30","0","0","26","6","202325","1610612759","2200","32","26","","1610612759"
"102","146","11:45","[SAS] Gasol Turnover : Offensive Foul Turnover (2 TO)","36","30","0","0","37","5","","1610612759","2200","32","26","","1610612759"
"103","147","11:26","[LAC 29-32] Johnson 3pt Shot: Made (10 PTS) Assist: Rivers (2 AST)","-228","4","3","0","1","1","","1610612746","202325","32","29","203085","1610612746"
"104","149","11:03","[SAS 34-29] Gasol Turnaround Jump Shot: Made (5 PTS)","-104","32","2","0","47","1","","1610612759","2200","34","29","","1610612759"
"105","150","10:50","[LAC 31-34] Rivers Finger Roll Layup Shot: Made (5 PTS) Assist: Johnson (1 AST)","-11","0","2","0","71","1","","1610612746","203085","34","31","202325","1610612746"
"106","152","10:32","[SAS] Murray Finger Roll Layup Shot: Missed","-25","20","2","0","71","2","202325","1610612759","1627749","34","31","","1610612759"
"107","154","10:28","[SAS] Murray Rebound (Off:1 Def:2)","-25","20","1","0","0","4","","1610612759","1627749","34","31","","1610612759"
"108","155","10:27","[SAS] Paul 3pt Shot: Missed","226","71","3","0","1","2","","1610612759","203464","34","31","","1610612759"
"109","156","10:23","[SAS] Gasol Rebound (Off:1 Def:2)","226","71","1","0","0","4","","1610612759","2200","34","31","","1610612759"
"110","157","10:19","[SAS 37-31] Gay 3pt Shot: Made (7 PTS) Assist: Murray (2 AST)","-153","221","3","0","1","1","","1610612759","200752","37","31","1627749","1610612759"
"111","159","10:01","[LAC 34-37] Rivers 3pt Shot: Made (8 PTS) Assist: Johnson (2 AST)","17","261","3","0","1","1","","1610612746","203085","37","34","202325","1610612746"
"112","161","09:45","[SAS 39-34] Gasol Jump Shot: Made (7 PTS) Assist: Paul (2 AST)","109","17","2","0","1","1","","1610612759","2200","39","34","203464","1610612759"
"113","163","09:19","[LAC 36-39] Reed Jump Shot: Made (2 PTS) Assist: Thornwell (1 AST)","-92","21","2","0","1","1","","1610612746","203186","39","36","1628414","1610612746"
"114","165","08:58","[SAS 41-36] Gay Reverse Layup Shot: Made (9 PTS) Assist: Gasol (4 AST)","14","9","2","0","44","1","","1610612759","200752","41","36","2200","1610612759"
"115","167","08:51","[SAS] Paul Foul: Personal (1 PF)","-226","230","0","0","1","6","101150","1610612759","203464","41","36","","1610612746"
"116","170","08:51","[SAS] Ginobili Substitution replaced by Green","0","-80","0","0","0","8","","1610612759","1938","41","36","201980","1610612746"
