"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:54","Jump Ball Maker vs Nurkic (Antetokounmpo gains possession)","0","-80","0","0","0","10","203994","1610612749","1627748","0","0","203507","1610612749"
"3","7","11:43","[MIL 2-0] Middleton Jump Shot: Made (2 PTS) Assist: Brogdon (1 AST)","-78","143","2","0","1","1","","1610612749","203114","2","0","1627763","1610612749"
"4","9","11:24","[POR] McCollum Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-32","16","0","0","45","5","","1610612757","203468","2","0","","1610612757"
"5","10","11:11","[MIL 4-0] Middleton Driving Layup Shot: Made (4 PTS) Assist: Brogdon (2 AST)","2","14","2","0","6","1","","1610612749","203114","4","0","1627763","1610612749"
"6","12","10:52","[POR 2-4] McCollum Jump Shot: Made (2 PTS) Assist: Lillard (1 AST)","119","45","2","0","1","1","","1610612757","203468","4","2","203081","1610612757"
"7","14","10:33","[MIL] Middleton Jump Shot: Missed","-134","78","2","0","1","2","","1610612749","203114","4","2","","1610612749"
"8","15","10:30","[MIL] Brogdon Rebound (Off:1 Def:0)","-134","78","1","0","0","4","","1610612749","1627763","4","2","","1610612749"
"9","16","10:29","[MIL] Brogdon Turnover : Bad Pass (1 TO) Steal:Lillard (1 ST)","116","28","1","0","1","5","203081","1610612749","1627763","4","2","","1610612749"
"10","18","10:26","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","4","2","","1610612757"
"11","19","10:20","[POR] Lillard Turnover : Bad Pass (1 TO) Steal:Maker (1 ST)","-107","45","1","0","1","5","1627748","1610612757","203081","4","2","","1610612757"
"12","21","10:16","[MIL 6-2] Antetokounmpo Running Finger Roll Layup Shot: Made (2 PTS) Assist: Maker (1 AST)","5","10","2","1","76","1","","1610612749","203507","6","2","1627748","1610612749"
"13","23","10:04","[POR] Nurkic Layup Shot: Missed","2","11","2","0","5","2","","1610612757","203994","6","2","","1610612757"
