"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","12:00","Jump Ball Gobert vs Towns (Favors gains possession)","0","-80","0","0","0","10","1626157","1610612762","203497","0","0","202324","1610612762"
"3","7","11:47","[UTA] Favors Jump Shot: Missed","38","57","2","0","1","2","","1610612762","202324","0","0","","1610612762"
"4","8","11:46","[UTA] Gobert Rebound (Off:1 Def:0)","38","57","1","0","0","4","","1610612762","203497","0","0","","1610612762"
"5","9","11:36","[UTA] Rubio Layup Shot: Missed","-6","9","2","0","5","2","","1610612762","201937","0","0","","1610612762"
"6","10","11:35","[MIN] Towns Rebound (Off:0 Def:1)","6","827","0","0","0","4","","1610612750","1626157","0","0","","1610612762"
"7","11","11:29","[MIN] Butler 3pt Shot: Missed","-229","46","3","0","1","2","","1610612750","202710","0","0","","1610612750"
"8","12","11:28","[MIN] Wiggins Rebound (Off:1 Def:0)","-229","46","1","0","0","4","","1610612750","203952","0","0","","1610612750"
"9","272","11:26","[MIN] Wiggins Layup Shot: Missed","-5","3","2","0","5","2","","1610612750","203952","0","0","","1610612750"
"10","273","11:26","[UTA] Gobert Rebound (Off:1 Def:1)","5","833","0","0","0","4","","1610612762","203497","0","0","","1610612750"
"11","274","11:16","[UTA] Rubio Turnover : Bad Pass (1 TO) Steal:Towns (1 ST)","150","69","1","0","1","5","1626157","1610612762","201937","0","0","","1610612762"
"12","276","11:11","[MIN 2-0] Wiggins Layup Shot: Made (2 PTS) Assist: Towns (1 AST)","-6","1","2","0","5","1","","1610612750","203952","2","0","1626157","1610612750"
"13","278","10:56","[UTA] Ingles Layup Shot: Missed","4","10","2","0","5","2","1626157","1610612762","204060","2","0","","1610612762"
"14","280","10:56","[MIN] Towns Rebound (Off:0 Def:2)","-4","826","0","0","0","4","","1610612750","1626157","2","0","","1610612762"
"15","281","10:42","[MIN 4-0] Towns Jump Shot: Made (2 PTS)","-18","146","2","0","1","1","","1610612750","1626157","4","0","","1610612750"
"16","282","10:42","[UTA] Hood 3pt Shot: Missed","87","231","3","0","1","2","","1610612762","203918","4","0","","1610612762"
"17","283","10:41","[UTA] Gobert Rebound (Off:2 Def:1)","87","231","1","0","0","4","","1610612762","203497","4","0","","1610612762"
"18","284","10:32","[UTA] Gobert Hook Shot: Missed","12","48","2","0","3","2","","1610612762","203497","4","0","","1610612762"
"19","285","10:31","[UTA] Gobert Rebound (Off:3 Def:1)","12","48","1","0","0","4","","1610612762","203497","4","0","","1610612762"
