"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Horford vs Cauley-Stein (Irving gains possession)","0","-80","0","0","0","10","1626161","1610612738","201143","0","0","202681","1610612738"
"3","7","11:35","[BOS] Brown Turnover : Lost Ball (1 TO) Steal:Temple (1 ST)","51","62","1","0","2","5","202066","1610612738","1627759","0","0","","1610612738"
"4","9","11:30","[SAC 2-0] G Hill Running Layup Shot: Made (2 PTS) Assist: Temple (1 AST)","-8","12","2","1","41","1","","1610612758","201588","0","2","202066","1610612758"
"5","11","11:21","[BOS 2-2] Irving Cutting Finger Roll Layup Shot: Made (2 PTS) Assist: Baynes (1 AST)","-6","9","2","0","99","1","","1610612738","202681","2","2","203382","1610612738"
"6","13","11:02","[SAC] Randolph Turnover : Bad Pass (1 TO) Steal:Horford (1 ST)","-82","11","1","0","1","5","201143","1610612758","2216","2","2","","1610612758"
"7","15","10:56","[BOS 5-2] Brown 3pt Shot: Made (3 PTS) Assist: Irving (1 AST)","230","36","3","1","1","1","","1610612738","1627759","5","2","202681","1610612738"
"8","17","10:31","[SAC 5-5] G Hill 3pt Shot: Made (5 PTS) Assist: Randolph (1 AST)","146","206","3","0","1","1","","1610612758","201588","5","5","2216","1610612758"
"9","19","10:11","[SAC] Cauley-Stein Foul: Shooting (1 PF) (2 FTA)","18","815","0","0","2","6","202681","1610612758","1626161","5","5","","1610612738"
"10","21","10:11","[BOS 6-5] Irving Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612738","202681","6","5","","1610612738"
"11","22","10:11","[BOS 7-5] Irving Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612738","202681","7","5","","1610612738"
"12","23","09:57","[SAC] Temple 3pt Shot: Missed","226","50","3","0","1","2","","1610612758","202066","7","5","","1610612758"
"13","24","09:55","[BOS] Horford Rebound (Off:0 Def:1)","226","50","0","0","0","4","","1610612738","201143","7","5","","1610612758"
"14","25","09:48","[BOS 10-5] Irving 3pt Shot: Made (7 PTS) Assist: Brown (1 AST)","-75","266","3","0","1","1","","1610612738","202681","10","5","1627759","1610612738"
"15","27","09:30","[SAC 7-10] G Hill Driving Floating Jump Shot: Made (7 PTS)","19","87","2","0","101","1","","1610612758","201588","10","7","","1610612758"
"16","28","09:22","[BOS 12-7] Baynes Cutting Dunk Shot: Made (2 PTS) Assist: Irving (2 AST)","1","10","2","0","108","1","","1610612738","203382","12","7","202681","1610612738"
"17","30","09:04","[SAC] Temple Pullup Jump shot: Missed","27","166","2","0","79","2","","1610612758","202066","12","7","","1610612758"
"18","31","09:00","[BOS] Baynes Rebound (Off:0 Def:1)","27","166","0","0","0","4","","1610612738","203382","12","7","","1610612758"
"19","32","08:47","[BOS] Horford Turnover : Bad Pass (1 TO) Steal:Bogdanovic (1 ST)","-96","162","1","0","1","5","203992","1610612738","201143","12","7","","1610612738"
"20","34","08:31","[SAC 9-12] Randolph Step Back Jump shot: Made (2 PTS) Assist: G Hill (1 AST)","-136","12","2","0","80","1","","1610612758","2216","12","9","201588","1610612758"
"21","36","08:12","[BOS 14-9] Tatum Pullup Jump shot: Made (2 PTS)","-46","174","2","0","79","1","","1610612738","1628369","14","9","","1610612738"
"22","37","07:53","[SAC 11-14] Temple Cutting Finger Roll Layup Shot: Made (2 PTS) Assist: Cauley-Stein (1 AST)","4","3","2","0","99","1","","1610612758","202066","14","11","1626161","1610612758"
"23","603","07:37","[BOS] Tatum Foul: Offensive (1 PF)","-211","642","0","0","4","6","203992","1610612738","1628369","14","11","","1610612738"
"24","604","07:37","[BOS] Tatum Turnover : Offensive Foul Turnover (1 TO)","-211","642","0","0","37","5","","1610612738","1628369","14","11","","1610612738"
"25","611","07:21","[BOS] Irving Foul: Personal (1 PF)","225","156","0","0","1","6","201588","1610612738","202681","14","11","","1610612758"
"26","45","07:14","[SAC] Temple 3pt Shot: Missed","-237","21","3","0","1","2","","1610612758","202066","14","11","","1610612758"
"27","46","07:10","[SAC] Bogdanovic Rebound (Off:1 Def:0)","-237","21","1","0","0","4","","1610612758","203992","14","11","","1610612758"
"28","47","07:08","[SAC] Cauley-Stein Jump Shot: Missed","-65","159","2","0","1","2","","1610612758","1626161","14","11","","1610612758"
"29","48","07:08","[BOS] Brown Rebound (Off:0 Def:1)","-65","159","0","0","0","4","","1610612738","1627759","14","11","","1610612758"
"30","49","06:59","[SAC] Bogdanovic Foul: Shooting (1 PF) (2 FTA)","2","823","0","0","2","6","1627759","1610612758","203992","14","11","","1610612738"
"31","51","06:59","[BOS] Team Timeout : Regular","0","-80","0","0","1","9","","1610612738","1610612738","14","11","","1610612738"
"32","52","06:59","[BOS] Brown Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612738","1627759","14","11","","1610612738"
"33","53","06:59","[BOS] Team Rebound","0","-80","1","0","1","4","","1610612738","0","14","11","","1610612738"
"34","54","06:59","[BOS 15-11] Brown Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612738","1627759","15","11","","1610612738"
"35","55","06:42","[SAC 13-15] Cauley-Stein Jump Shot: Made (2 PTS) Assist: Randolph (2 AST)","46","198","2","0","1","1","","1610612758","1626161","15","13","2216","1610612758"
"36","57","06:25","[BOS] Irving 3pt Shot: Missed","233","61","3","0","1","2","","1610612738","202681","15","13","","1610612738"
"37","58","06:23","[SAC] Cauley-Stein Rebound (Off:0 Def:1)","233","61","0","0","0","4","","1610612758","1626161","15","13","","1610612738"
"38","59","06:04","[SAC] Randolph 3pt Shot: Missed","116","251","3","0","1","2","","1610612758","2216","15","13","","1610612758"
"39","60","06:01","[BOS] Tatum Rebound (Off:0 Def:1)","116","251","0","0","0","4","","1610612738","1628369","15","13","","1610612758"
"40","61","05:53","[BOS 17-13] Brown Pullup Jump shot: Made (6 PTS) Assist: Tatum (1 AST)","55","190","2","0","79","1","","1610612738","1627759","17","13","1628369","1610612738"
"41","63","05:53","[SAC] Temple Foul: Shooting (1 PF) (1 FTA)","71","168","0","0","2","6","1627759","1610612758","202066","17","13","","1610612758"
"42","66","05:53","[BOS] Tatum Substitution replaced by Smart","0","-80","0","0","0","8","","1610612738","1628369","17","13","203935","1610612758"
"43","67","05:53","[BOS 18-13] Brown Free Throw 1 of 1 (7 PTS)","0","-80","1","0","10","3","","1610612738","1627759","18","13","","1610612738"
"44","68","05:36","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","18","13","","1610612758"
"45","69","05:31","[SAC 15-18] Randolph Cutting Layup Shot: Made (4 PTS) Assist: Bogdanovic (1 AST)","36","8","2","0","98","1","","1610612758","2216","18","15","203992","1610612758"
"46","71","05:17","[BOS] Irving 3pt Shot: Missed","217","104","3","0","1","2","","1610612738","202681","18","15","","1610612738"
"47","72","05:14","[SAC] Cauley-Stein Rebound (Off:0 Def:2)","217","104","0","0","0","4","","1610612758","1626161","18","15","","1610612738"
"48","73","05:01","[SAC] Cauley-Stein Jump Shot: Missed","63","189","2","0","1","2","","1610612758","1626161","18","15","","1610612758"
"49","74","04:58","[BOS] Brown Rebound (Off:0 Def:2)","63","189","0","0","0","4","","1610612738","1627759","18","15","","1610612758"
"50","75","04:46","[BOS] Horford 3pt Shot: Missed","90","225","3","0","1","2","","1610612738","201143","18","15","","1610612738"
"51","104","04:46","[BOS] Baynes Putback Layup Shot: Missed","-2","0","2","0","72","2","","1610612738","203382","18","15","","1610612738"
"52","105","04:46","[SAC] Bogdanovic Rebound (Off:1 Def:1)","-4","832","0","0","0","4","","1610612758","203992","18","15","","1610612738"
"53","76","04:40","[BOS] Baynes Rebound (Off:1 Def:1)","90","225","1","0","0","4","","1610612738","203382","18","15","","1610612738"
"54","77","04:30","[SAC 17-18] Randolph Driving Hook Shot: Made (6 PTS)","5","52","2","0","57","1","","1610612758","2216","18","17","","1610612758"
"55","78","04:17","[SAC] Randolph Foul: Personal (1 PF)","20","236","0","0","1","6","201143","1610612758","2216","18","17","","1610612738"
"56","82","04:17","[BOS] Baynes Substitution replaced by Theis","0","-80","0","0","0","8","","1610612738","203382","18","17","1628464","1610612738"
"57","83","04:17","[SAC] Temple Substitution replaced by Hield","0","-80","0","0","0","8","","1610612758","202066","18","17","1627741","1610612738"
"58","84","04:07","[BOS] Theis Layup Shot: Missed","-14","15","2","0","5","2","","1610612738","1628464","18","17","","1610612738"
"59","85","04:07","[SAC] Randolph Rebound (Off:0 Def:1)","-14","15","0","0","0","4","","1610612758","2216","18","17","","1610612738"
"60","86","03:58","[SAC] Randolph Hook Shot: Missed","-18","3","2","0","3","2","","1610612758","2216","18","17","","1610612758"
"61","87","03:58","[BOS] Horford Rebound (Off:0 Def:2)","-18","3","0","0","0","4","","1610612738","201143","18","17","","1610612758"
"62","88","03:48","[BOS 20-17] Brown Driving Dunk Shot: Made (9 PTS) Assist: Irving (3 AST)","2","3","2","0","9","1","","1610612738","1627759","20","17","202681","1610612738"
"63","90","03:31","[SAC 19-20] Bogdanovic Pullup Jump shot: Made (2 PTS) Assist: Hield (1 AST)","12","171","2","0","79","1","","1610612758","203992","20","19","1627741","1610612758"
"64","92","03:17","[BOS] Horford 3pt Shot: Missed","43","248","3","0","1","2","","1610612738","201143","20","19","","1610612738"
"65","93","03:14","[BOS] Theis Rebound (Off:1 Def:0)","43","248","1","0","0","4","","1610612738","1628464","20","19","","1610612738"
"66","94","03:14","[BOS] Theis Putback Layup Shot: Missed","0","-5","2","0","72","2","","1610612738","1628464","20","19","","1610612738"
"67","95","03:14","[BOS] Theis Rebound (Off:2 Def:0)","0","-5","1","0","0","4","","1610612738","1628464","20","19","","1610612738"
"68","96","03:14","[SAC] G Hill Foul: Shooting (1 PF) (2 FTA)","2","12","0","0","2","6","1628464","1610612758","201588","20","19","","1610612738"
"69","98","03:14","[BOS 21-19] Theis Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612738","1628464","21","19","","1610612738"
"70","101","03:14","[SAC] Cauley-Stein Substitution replaced by Koufos","0","-80","0","0","0","8","","1610612758","1626161","21","19","201585","1610612738"
"71","102","03:14","[SAC] Bogdanovic Substitution replaced by Fox","0","-80","0","0","0","8","","1610612758","203992","21","19","1628368","1610612738"
"72","103","03:14","[BOS 22-19] Theis Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612738","1628464","22","19","","1610612738"
"73","106","02:58","[BOS] Theis Foul: Personal (1 PF)","-127","-22","0","0","1","6","201588","1610612738","1628464","22","19","","1610612758"
"74","108","02:58","[SAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612758","1610612758","22","19","","1610612758"
"75","109","02:42","[SAC 21-22] Koufos Layup Shot: Made (2 PTS) Assist: G Hill (2 AST)","47","-1","2","0","5","1","","1610612758","201585","22","21","201588","1610612758"
"76","111","02:29","[BOS] Irving Cutting Layup Shot: Missed","0","5","2","0","98","2","","1610612738","202681","22","21","","1610612738"
"77","112","02:27","[SAC] Fox Rebound (Off:0 Def:1)","0","5","0","0","0","4","","1610612758","1628368","22","21","","1610612738"
"78","113","02:21","[SAC] G Hill 3pt Shot: Missed","152","235","3","0","1","2","","1610612758","201588","22","21","","1610612758"
"79","114","02:17","[BOS] Horford Rebound (Off:0 Def:3)","152","235","0","0","0","4","","1610612738","201143","22","21","","1610612758"
"80","115","02:07","[BOS 24-21] Irving Driving Finger Roll Layup Shot: Made (9 PTS)","-7","8","2","0","75","1","","1610612738","202681","24","21","","1610612738"
"81","116","01:58","[SAC] Fox Driving Layup Shot: Missed","9","15","2","0","6","2","","1610612758","1628368","24","21","","1610612758"
"82","117","01:53","[BOS] Brown Rebound (Off:0 Def:3)","19","40","0","0","0","4","","1610612738","1627759","24","21","","1610612758"
"83","118","01:45","[BOS 27-21] Brown 3pt Shot: Made (12 PTS) Assist: Horford (1 AST)","231","4","3","0","1","1","","1610612738","1627759","27","21","201143","1610612738"
"84","120","01:24","[SAC 24-27] Randolph 3pt Shot: Made (9 PTS) Assist: Fox (1 AST)","-231","19","3","0","1","1","","1610612758","2216","27","24","1628368","1610612758"
"85","122","01:09","[BOS] Irving 3pt Shot: Missed","11","268","3","0","1","2","","1610612738","202681","27","24","","1610612738"
"86","123","01:05","[SAC] Hield Rebound (Off:0 Def:1)","11","268","0","0","0","4","","1610612758","1627741","27","24","","1610612738"
"87","124","00:53.5","[SAC] G Hill Pullup Jump shot: Missed","-124","139","2","0","79","2","","1610612758","201588","27","24","","1610612758"
"88","125","00:49.8","[SAC] Koufos Rebound (Off:1 Def:0)","-124","139","1","0","0","4","","1610612758","201585","27","24","","1610612758"
"89","126","00:30.4","[SAC] Randolph Turnaround Hook Shot: Missed","-26","12","2","0","58","2","","1610612758","2216","27","24","","1610612758"
"90","127","00:28.6","[BOS] Horford Rebound (Off:0 Def:4)","-26","12","0","0","0","4","","1610612738","201143","27","24","","1610612758"
"91","128","00:22.3","[BOS] Horford Turnover : Bad Pass (2 TO) Steal:Hield (1 ST)","-73","93","1","0","1","5","1627741","1610612738","201143","27","24","","1610612738"
"92","130","00:00.4","[SAC] Koufos Turnover : Traveling (1 TO)","-116","120","0","0","4","5","","1610612758","201585","27","24","","1610612758"
"93","131","00:00.0","[BOS] Smart Turnover : Bad Pass (1 TO) Steal:Hield (2 ST)","-170","19","1","0","1","5","1627741","1610612738","203935","27","24","","1610612738"
"94","133","00:00.0","End Period","0","-80","0","0","0","13","","0","0","27","24","","1610612758"
"95","144","12:00","Start Period","0","-80","0","0","0","12","","0","0","27","24","","1610612758"
"96","145","11:48","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","27","24","","1610612758"
"97","146","11:37","[SAC 26-27] Fox Driving Layup Shot: Made (2 PTS) Assist: Hield (2 AST)","8","15","2","0","6","1","","1610612758","1628368","27","26","1627741","1610612758"
"98","147","11:37","[BOS] Theis Foul: Shooting (2 PF) (1 FTA)","0","12","0","0","2","6","1628368","1610612738","1628464","27","26","","1610612738"
"99","150","11:37","[SAC] Fox Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612758","1628368","27","26","","1610612758"
"100","151","11:35","[BOS] Ojeleye Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","1628400","27","26","","1610612758"
"101","152","11:12","[BOS] Rozier 3pt Shot: Missed","199","151","3","0","80","2","","1610612738","1626179","27","26","","1610612738"
"102","153","11:10","[SAC] Hield Rebound (Off:0 Def:2)","199","151","0","0","0","4","","1610612758","1627741","27","26","","1610612738"
"103","154","10:58","[SAC 28-27] Hield Jump Shot: Made (2 PTS) Assist: Koufos (1 AST)","-84","154","2","0","1","1","","1610612758","1627741","27","28","201585","1610612758"
"104","156","10:37","[BOS 29-28] Tatum Driving Finger Roll Layup Shot: Made (4 PTS) Assist: Smart (1 AST)","-3","5","2","0","75","1","","1610612738","1628369","29","28","203935","1610612738"
"105","158","10:21","[SAC 30-29] Fox Floating Jump shot: Made (4 PTS)","-43","80","2","0","78","1","","1610612758","1628368","29","30","","1610612758"
"106","159","09:57","[BOS] Ojeleye 3pt Shot: Missed","230","4","3","0","1","2","","1610612738","1628400","29","30","","1610612738"
"107","160","09:54","[BOS] Theis Rebound (Off:3 Def:0)","230","4","1","0","0","4","","1610612738","1628464","29","30","","1610612738"
"108","161","09:53","[BOS] Theis Layup Shot: Missed","-2","10","2","0","5","2","201585","1610612738","1628464","29","30","","1610612738"
"109","163","09:53","[BOS] Theis Rebound (Off:4 Def:0)","-2","10","1","0","0","4","","1610612738","1628464","29","30","","1610612738"
"110","164","09:49","[BOS 31-30] Theis Putback Layup Shot: Made (4 PTS)","3","1","2","0","72","1","","1610612738","1628464","31","30","","1610612738"
"111","165","09:39","[SAC] Carter 3pt Shot: Missed","-152","217","3","0","1","2","","1610612758","1713","31","30","","1610612758"
"112","166","09:35","[BOS] Theis Rebound (Off:4 Def:1)","-152","217","0","0","0","4","","1610612738","1628464","31","30","","1610612758"
"113","167","09:19","[SAC] Fox Foul: Shooting (1 PF) (2 FTA)","76","670","0","0","2","6","203935","1610612758","1628368","31","30","","1610612738"
"114","169","09:19","[BOS 32-30] Smart Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612738","203935","32","30","","1610612738"
"115","170","09:19","[BOS 33-30] Smart Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612738","203935","33","30","","1610612738"
"116","171","09:07","[SAC] Carter 3pt Shot: Missed","143","231","3","0","1","2","","1610612758","1713","33","30","","1610612758"
"117","172","09:04","[BOS] Smart Rebound (Off:0 Def:1)","143","231","0","0","0","4","","1610612738","203935","33","30","","1610612758"
"118","173","08:57","[BOS 35-30] Theis Alley Oop Dunk Shot: Made (6 PTS) Assist: Smart (2 AST)","-9","8","2","0","52","1","","1610612738","1628464","35","30","203935","1610612738"
"119","175","08:34","[SAC] Fox Jump Shot: Missed","40","193","2","0","1","2","","1610612758","1628368","35","30","","1610612758"
"120","176","08:31","[BOS] Theis Rebound (Off:4 Def:2)","40","193","0","0","0","4","","1610612738","1628464","35","30","","1610612758"
"121","177","08:26","[BOS 37-30] Rozier Driving Floating Jump Shot: Made (2 PTS)","-8","72","2","1","101","1","","1610612738","1626179","37","30","","1610612738"
"122","178","08:08","[SAC] Hield Foul: Offensive Charge (1 PF)","-59","147","0","0","26","6","203935","1610612758","1627741","37","30","","1610612758"
"123","180","08:08","[SAC] Hield Turnover : Offensive Foul Turnover (1 TO)","-59","147","0","0","37","5","","1610612758","1627741","37","30","","1610612758"
"124","181","07:48","[BOS 40-30] Ojeleye 3pt Shot: Made (3 PTS) Assist: Smart (3 AST)","155","197","3","0","1","1","","1610612738","1628400","40","30","203935","1610612738"
"125","183","07:37","[SAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612758","1610612758","40","30","","1610612758"
"126","184","07:27","[SAC] Hield Driving Layup Shot: Missed","-58","18","2","0","6","2","1628464","1610612758","1627741","40","30","","1610612758"
"127","186","07:24","[BOS] Theis Rebound (Off:4 Def:3)","-58","18","0","0","0","4","","1610612738","1628464","40","30","","1610612758"
"128","187","07:16","[BOS] Smart Turnover : Bad Pass (2 TO) Steal:Carter (1 ST)","-60","132","1","0","1","5","1713","1610612738","203935","40","30","","1610612738"
"129","189","07:12","[BOS] Smart Foul: Shooting (1 PF) (2 FTA)","-5","23","0","0","2","6","1628382","1610612738","203935","40","30","","1610612758"
"130","191","07:12","[SAC 31-40] Jackson Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612758","1628382","40","31","","1610612758"
"131","193","07:12","[SAC] Jackson Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612758","1628382","40","31","","1610612758"
"132","194","07:12","[SAC] Jackson Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612758","1628382","40","31","","1610612758"
"133","214","06:59","[SAC] Jackson 3pt Shot: Missed","234","-2","3","0","1","2","","1610612758","1628382","40","31","","1610612758"
"134","215","06:58","[BOS] Tatum Rebound (Off:0 Def:2)","234","-2","0","0","0","4","","1610612738","1628369","40","31","","1610612758"
"135","195","06:44","[SAC] Hield Foul: Personal (2 PF)","-15","802","0","0","1","6","203935","1610612758","1627741","40","31","","1610612738"
"136","198","06:37","[SAC] Carter Foul: Shooting (1 PF) (2 FTA)","1","819","0","0","2","6","1628369","1610612758","1713","40","31","","1610612738"
"137","200","06:37","[BOS 41-31] Tatum Free Throw 1 of 2 (5 PTS)","0","-80","1","0","11","3","","1610612738","1628369","41","31","","1610612738"
"138","201","06:37","[BOS 42-31] Tatum Free Throw 2 of 2 (6 PTS)","0","-80","1","0","12","3","","1610612738","1628369","42","31","","1610612738"
"139","202","06:17","[SAC] Carter Turnover : Traveling (1 TO)","-141","166","0","0","4","5","","1610612758","1713","42","31","","1610612758"
"140","203","06:01","[BOS 44-31] Rozier Turnaround Fadeaway shot: Made (4 PTS)","-106","69","2","0","86","1","","1610612738","1626179","44","31","","1610612738"
"141","204","05:54","[SAC 33-44] Koufos Running Finger Roll Layup Shot: Made (4 PTS) Assist: Fox (2 AST)","-11","9","2","1","76","1","","1610612758","201585","44","33","1628368","1610612758"
"142","206","05:35","[BOS 47-33] Rozier 3pt Shot: Made (7 PTS) Assist: Smart (4 AST)","-125","242","3","0","1","1","","1610612738","1626179","47","33","203935","1610612738"
"143","208","05:20","[BOS] Rozier Foul: Personal (1 PF)","-10","68","0","0","1","6","1713","1610612738","1626179","47","33","","1610612758"
"144","210","05:10","[BOS] Ojeleye Foul: Personal (1 PF)","62","39","0","0","1","6","1713","1610612738","1628400","47","33","","1610612758"
"145","213","05:10","[BOS] Theis Substitution replaced by Baynes","0","-80","0","0","0","8","","1610612738","1628464","47","33","203382","1610612758"
"146","216","04:58","[SAC 35-47] Koufos Driving Hook Shot: Made (6 PTS)","11","87","2","0","57","1","","1610612758","201585","47","35","","1610612758"
"147","217","04:42","[BOS 50-35] Tatum 3pt Shot: Made (9 PTS) Assist: Smart (5 AST)","135","229","3","0","1","1","","1610612738","1628369","50","35","203935","1610612738"
"148","219","04:29","[SAC 38-50] Hield 3pt Shot: Made (5 PTS) Assist: Fox (3 AST)","-217","139","3","0","1","1","","1610612758","1627741","50","38","1628368","1610612758"
"149","227","04:04","[BOS] Smart Substitution replaced by Irving","0","-80","0","0","0","8","","1610612738","203935","50","38","202681","1610612758"
"150","228","04:04","[SAC] Jackson Substitution replaced by Bogdanovic","0","-80","0","0","0","8","","1610612758","1628382","50","38","203992","1610612758"
"151","229","04:04","[SAC] Koufos Substitution replaced by Cauley-Stein","0","-80","0","0","0","8","","1610612758","201585","50","38","1626161","1610612758"
"152","221","04:02","[BOS] Rozier 3pt Shot: Missed","-131","557","3","0","1","2","","1610612738","1626179","50","38","","1610612738"
"153","222","04:02","[BOS] Team Rebound","-131","557","1","0","0","4","","1610612738","0","50","38","","1610612738"
"154","223","04:02","[BOS] Team Turnover : Shot Clock Turnover","9","10","0","0","11","5","","1610612738","0","50","38","","1610612738"
"155","230","03:44","[SAC] Hield 3pt Shot: Missed","132","245","3","0","80","2","","1610612758","1627741","50","38","","1610612758"
"156","231","03:41","[BOS] Tatum Rebound (Off:0 Def:3)","132","245","0","0","0","4","","1610612738","1628369","50","38","","1610612758"
"157","244","03:33","[BOS] Tatum Driving Layup Shot: Missed","-39","59","2","0","6","2","1713","1610612738","1628369","50","38","","1610612738"
"158","246","03:32","[BOS] Baynes Rebound (Off:2 Def:1)","21","810","1","0","0","4","","1610612738","203382","50","38","","1610612738"
"159","232","03:24","[BOS 53-38] Ojeleye 3pt Shot: Made (6 PTS) Assist: Rozier (1 AST)","-147","218","3","0","1","1","","1610612738","1628400","53","38","1626179","1610612738"
"160","234","03:13","[BOS] Rozier Foul: Shooting (2 PF) (2 FTA)","109","849","0","0","2","6","1713","1610612738","1626179","53","38","","1610612758"
"161","236","03:13","[SAC 39-53] Carter Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612758","1713","53","39","","1610612758"
"162","238","03:13","[SAC] Fox Substitution replaced by G Hill","0","-80","0","0","0","8","","1610612758","1628368","53","39","201588","1610612758"
"163","239","03:13","[SAC 40-53] Carter Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612758","1713","53","40","","1610612758"
"164","240","03:00","[BOS] Irving Turnover : Bad Pass (1 TO) Steal:G Hill (1 ST)","-74","142","1","0","1","5","201588","1610612738","202681","53","40","","1610612738"
"165","242","02:57","[SAC] Hield Turnover : Bad Pass (2 TO) Steal:Irving (1 ST)","90","271","1","0","1","5","202681","1610612758","1627741","53","40","","1610612758"
"166","247","02:53","[BOS] Rozier 3pt Shot: Missed","-212","136","3","0","1","2","","1610612738","1626179","53","40","","1610612738"
"167","248","02:51","[BOS] Baynes Rebound (Off:3 Def:1)","-212","136","1","0","0","4","","1610612738","203382","53","40","","1610612738"
"168","249","02:51","[BOS] Baynes Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612738","203382","53","40","","1610612738"
"169","250","02:51","[SAC] Team Rebound","0","-5","0","0","0","4","","1610612758","0","53","40","","1610612738"
"170","251","02:51","[BOS] Team Timeout : Regular","0","-80","0","0","1","9","","1610612738","1610612738","53","40","","1610612758"
"171","256","02:51","[BOS] Tatum Substitution replaced by Horford","0","-80","0","0","0","8","","1610612738","1628369","53","40","201143","1610612758"
"172","257","02:51","[BOS] Rozier Substitution replaced by Brown","0","-80","0","0","0","8","","1610612738","1626179","53","40","1627759","1610612758"
"173","258","02:51","[BOS] Ojeleye Substitution replaced by Smart","0","-80","0","0","0","8","","1610612738","1628400","53","40","203935","1610612758"
"174","259","02:51","[SAC] Hield Substitution replaced by Temple","0","-80","0","0","0","8","","1610612758","1627741","53","40","202066","1610612758"
"175","298","02:51","[SAC] Carter Substitution replaced by Randolph","0","-80","0","0","0","8","","1610612758","1713","53","40","2216","1610612758"
"176","260","02:31","[SAC] Temple Floating Jump shot: Missed","0","130","2","0","78","2","","1610612758","202066","53","40","","1610612758"
"177","261","02:28","[SAC] Cauley-Stein Rebound (Off:1 Def:2)","0","130","1","0","0","4","","1610612758","1626161","53","40","","1610612758"
