"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Gobert vs Adams (Favors gains possession)","0","-80","0","0","0","10","203500","1610612762","203497","0","0","202324","1610612762"
"3","7","11:39","[UTA] Rubio 3pt Shot: Missed","-119","220","3","0","1","2","","1610612762","201937","0","0","","1610612762"
"4","8","11:38","[UTA] Favors Rebound (Off:1 Def:0)","-119","220","1","0","0","4","","1610612762","202324","0","0","","1610612762"
"5","9","11:36","[UTA] Rubio 3pt Shot: Missed","-225","79","3","0","1","2","","1610612762","201937","0","0","","1610612762"
"6","10","11:36","[OKC] Roberson Rebound (Off:0 Def:1)","225","756","0","0","0","4","","1610612760","203460","0","0","","1610612762"
"7","11","11:14","[OKC 2-0] Westbrook Jump Shot: Made (2 PTS)","122","166","2","0","1","1","","1610612760","201566","0","2","","1610612760"
"8","12","10:59","[UTA] Gobert Layup Shot: Missed","-5","30","2","0","5","2","","1610612762","203497","0","2","","1610612762"
"9","13","10:57","[OKC] Westbrook Rebound (Off:0 Def:1)","5","806","0","0","0","4","","1610612760","201566","0","2","","1610612762"
"10","14","10:54","[OKC] Anthony 3pt Shot: Missed","11","245","3","1","1","2","","1610612760","2546","0","2","","1610612760"
"11","15","10:50","[UTA] Ingles Rebound (Off:0 Def:1)","-11","591","0","0","0","4","","1610612762","204060","0","2","","1610612760"
"12","16","10:44","[OKC] George Foul: Personal (1 PF)","22","718","0","0","1","6","203497","1610612760","202331","0","2","","1610612762"
"13","18","10:33","[UTA] Rubio Turnover : Bad Pass (1 TO) Steal:George (1 ST)","31","-20","1","0","1","5","202331","1610612762","201937","0","2","","1610612762"
"14","20","10:25","[OKC 4-0] George Pullup Jump shot: Made (2 PTS)","149","145","2","0","79","1","","1610612760","202331","0","4","","1610612760"
"15","21","10:06","[UTA] Favors Turnover : Lost Ball (1 TO) Steal:George (2 ST)","22","35","1","0","2","5","202331","1610612762","202324","0","4","","1610612762"
"16","23","09:57","[OKC 6-0] Anthony Pullup Jump shot: Made (2 PTS)","-127","183","2","0","79","1","","1610612760","2546","0","6","","1610612760"
"17","24","09:34","[UTA 2-6] Favors Dunk Shot: Made (2 PTS) Assist: Mitchell (1 AST)","14","20","2","0","7","1","","1610612762","202324","2","6","1628378","1610612762"
"18","26","09:15","[OKC] George 3pt Shot: Missed","213","126","3","0","1","2","","1610612760","202331","2","6","","1610612760"
"19","27","09:12","[UTA] Gobert Rebound (Off:0 Def:1)","-213","709","0","0","0","4","","1610612762","203497","2","6","","1610612760"
"20","28","09:03","[UTA 5-6] Ingles 3pt Shot: Made (3 PTS)","230","14","3","0","80","1","","1610612762","204060","5","6","","1610612762"
"21","29","08:35","[OKC] Westbrook Pullup Jump shot: Missed","-41","191","2","0","79","2","","1610612760","201566","5","6","","1610612760"
"22","30","08:32","[UTA] Gobert Rebound (Off:0 Def:2)","41","645","0","0","0","4","","1610612762","203497","5","6","","1610612760"
"23","31","08:23","[UTA] Mitchell 3pt Shot: Missed","228","89","3","0","1","2","","1610612762","1628378","5","6","","1610612762"
"24","32","08:20","[OKC] Westbrook Rebound (Off:0 Def:2)","-228","747","0","0","0","4","","1610612760","201566","5","6","","1610612762"
"25","33","08:20","[UTA] Ingles Foul: Personal (1 PF)","2","439","0","0","1","6","201566","1610612762","204060","5","6","","1610612760"
"26","35","08:10","[OKC] Anthony Pullup Jump shot: Missed","30","207","2","0","79","2","","1610612760","2546","5","6","","1610612760"
"27","36","08:09","[OKC] Team Rebound","30","207","1","0","0","4","","1610612760","0","5","6","","1610612760"
"28","37","08:09","[UTA] Gobert Foul: Loose Ball (1 PF)","-6","797","0","0","3","6","203500","1610612762","203497","5","6","","1610612760"
"29","39","08:07","[UTA] Ingles Foul: Personal (2 PF)","35","705","0","0","1","6","2546","1610612762","204060","5","6","","1610612760"
"30","41","08:01","[OKC] George 3pt Shot: Missed","30","250","3","0","1","2","","1610612760","202331","5","6","","1610612760"
"31","42","07:58","[UTA] Gobert Rebound (Off:0 Def:3)","-30","586","0","0","0","4","","1610612762","203497","5","6","","1610612760"
"32","43","07:53","[UTA] Mitchell 3pt Shot: Missed","223","52","3","0","1","2","","1610612762","1628378","5","6","","1610612762"
"33","44","07:50","[OKC] Roberson Rebound (Off:0 Def:2)","-223","784","0","0","0","4","","1610612760","203460","5","6","","1610612762"
"34","45","07:44","[OKC] Westbrook Pullup Jump shot: Missed","77","59","2","0","79","2","","1610612760","201566","5","6","","1610612760"
"35","46","07:41","[OKC] Adams Rebound (Off:1 Def:0)","77","59","1","0","0","4","","1610612760","203500","5","6","","1610612760"
"36","47","07:36","[OKC 8-5] Adams Hook Shot: Made (2 PTS)","-22","68","2","0","3","1","","1610612760","203500","5","8","","1610612760"
"37","48","07:11","[UTA 8-8] Ingles 3pt Shot: Made (6 PTS) Assist: Mitchell (2 AST)","-229","8","3","0","1","1","","1610612762","204060","8","8","1628378","1610612762"
"38","50","06:56","[OKC] George Turnover : Bad Pass (1 TO) Steal:Ingles (1 ST)","120","78","1","0","1","5","204060","1610612760","202331","8","8","","1610612760"
"39","52","06:53","[UTA] Ingles Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-78","69","0","0","45","5","","1610612762","204060","8","8","","1610612762"
"40","53","06:53","[UTA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612762","1610612762","8","8","","1610612760"
"41","54","06:42","[OKC 10-8] Adams Jump Shot: Made (4 PTS) Assist: Westbrook (1 AST)","35","115","2","0","1","1","","1610612760","203500","8","10","201566","1610612760"
"42","56","06:28","[OKC] Anthony Foul: Defense 3 Second (1 PF) (1 FTA)","0","-80","0","0","17","6","","1610612760","2546","8","10","","1610612762"
"43","57","06:28","[UTA 9-10] Rubio Free Throw Technical (1 PTS)","0","-80","1","0","16","3","","1610612762","201937","9","10","","1610612762"
"44","59","06:28","[UTA] Favors Substitution replaced by Johnson","0","-80","0","0","0","8","","1610612762","202324","9","10","2207","1610612762"
"45","60","06:12","[UTA 11-10] Gobert Dunk Shot: Made (2 PTS) Assist: Mitchell (3 AST)","4","24","2","0","7","1","","1610612762","203497","11","10","1628378","1610612762"
"46","62","06:02","[UTA] Mitchell Foul: Personal (1 PF)","-104","820","0","0","1","6","202331","1610612762","1628378","11","10","","1610612760"
"47","67","06:02","[UTA] Rubio Substitution replaced by Sefolosha","0","-80","0","0","0","8","","1610612762","201937","11","10","200757","1610612760"
"48","68","06:02","[OKC] Anthony Substitution replaced by Grant","0","-80","0","0","0","8","","1610612760","2546","11","10","203924","1610612760"
"49","69","06:02","[OKC] Roberson Substitution replaced by Abrines","0","-80","0","0","0","8","","1610612760","203460","11","10","203518","1610612760"
"50","70","05:52","[OKC 12-11] George Fadeaway Jump Shot: Made (4 PTS)","-93","9","2","0","63","1","","1610612760","202331","11","12","","1610612760"
"51","72","05:47","[UTA] Ingles Substitution replaced by Rubio","0","-80","0","0","0","8","","1610612762","204060","11","12","201937","1610612762"
"52","73","05:35","[UTA] Sefolosha 3pt Shot: Missed","-100","229","3","0","1","2","","1610612762","200757","11","12","","1610612762"
"53","74","05:32","[OKC] Westbrook Rebound (Off:0 Def:3)","100","607","0","0","0","4","","1610612760","201566","11","12","","1610612762"
"54","75","05:19","[OKC] George Turnover : Bad Pass (2 TO)","-26","36","0","0","1","5","","1610612760","202331","11","12","","1610612760"
"55","76","05:19","[OKC] Adams Foul: Loose Ball (1 PF)","-44","19","0","0","3","6","1628378","1610612760","203500","11","12","","1610612762"
"56","78","05:04","[UTA] Gobert Turnover : Bad Pass (1 TO) Steal:Westbrook (1 ST)","-96","114","1","0","1","5","201566","1610612762","203497","11","12","","1610612762"
"57","80","04:57","[OKC] Grant 3pt Shot: Missed","230","61","3","0","1","2","","1610612760","203924","11","12","","1610612760"
"58","81","04:53","[UTA] Sefolosha Rebound (Off:0 Def:1)","-230","775","0","0","0","4","","1610612762","200757","11","12","","1610612760"
"59","82","04:34","[UTA] Johnson Floating Jump shot: Missed","-38","89","2","0","78","2","","1610612762","2207","11","12","","1610612762"
"60","83","04:28","[UTA] Gobert Rebound (Off:1 Def:3)","-38","89","1","0","0","4","","1610612762","203497","11","12","","1610612762"
"61","84","04:28","[UTA 13-12] Gobert Putback Dunk Shot: Made (4 PTS)","0","-5","2","0","87","1","","1610612762","203497","13","12","","1610612762"
"62","86","04:20","[OKC] Westbrook Turnover : Bad Pass (1 TO) Steal:Sefolosha (1 ST)","39","60","1","0","1","5","200757","1610612760","201566","13","12","","1610612760"
"63","88","04:13","[UTA] Johnson 3pt Shot: Missed","-187","168","3","0","1","2","","1610612762","2207","13","12","","1610612762"
"64","89","04:10","[OKC] Westbrook Rebound (Off:0 Def:4)","187","667","0","0","0","4","","1610612760","201566","13","12","","1610612762"
"65","90","04:06","[OKC] Adams Turnaround Hook Shot: Missed","-14","77","2","0","58","2","","1610612760","203500","13","12","","1610612760"
"66","91","04:02","[UTA] Gobert Rebound (Off:1 Def:4)","14","759","0","0","0","4","","1610612762","203497","13","12","","1610612760"
"67","92","03:54","[UTA] Rubio Jump Shot: Missed","-12","195","2","0","1","2","","1610612762","201937","13","12","","1610612762"
"68","93","03:50","[OKC] Westbrook Rebound (Off:0 Def:5)","12","640","0","0","0","4","","1610612760","201566","13","12","","1610612762"
"69","94","03:47","[OKC] Westbrook Driving Layup Shot: Missed","17","20","2","0","6","2","","1610612760","201566","13","12","","1610612760"
"70","95","03:45","[UTA] Mitchell Rebound (Off:0 Def:1)","-17","815","0","0","0","4","","1610612762","1628378","13","12","","1610612760"
"71","96","03:40","[UTA] Sefolosha 3pt Shot: Missed","-228","37","3","0","1","2","","1610612762","200757","13","12","","1610612762"
"72","97","03:37","[OKC] Adams Rebound (Off:1 Def:1)","228","798","0","0","0","4","","1610612760","203500","13","12","","1610612762"
"73","98","03:33","[OKC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612760","1610612760","13","12","","1610612760"
"74","99","03:33","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","13","12","","1610612760"
"75","102","03:33","[UTA] Gobert Substitution replaced by Burks","0","-80","0","0","0","8","","1610612762","203497","13","12","202692","1610612760"
"76","103","03:33","[UTA] Mitchell Substitution replaced by Udoh","0","-80","0","0","0","8","","1610612762","1628378","13","12","202327","1610612760"
"77","104","03:16","[OKC] Westbrook Driving Layup Shot: Missed","18","28","2","0","6","2","","1610612760","201566","13","12","","1610612760"
"78","105","03:14","[UTA] Rubio Rebound (Off:0 Def:1)","-18","808","0","0","0","4","","1610612762","201937","13","12","","1610612760"
"79","106","03:09","[UTA 16-12] Burks 3pt Shot: Made (3 PTS) Assist: Rubio (1 AST)","139","215","3","1","1","1","","1610612762","202692","16","12","201937","1610612762"
