"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Pachulia vs Barnes (Green gains possession)","0","-80","0","0","0","10","203084","1610612744","2585","0","0","203110","1610612744"
"3","7","11:39","[GSW 2-0] Thompson Jump Shot: Made (2 PTS) Assist: Green (1 AST)","57","150","2","0","1","1","","1610612744","202691","0","2","203110","1610612744"
"4","9","11:17","[DAL] Nowitzki Jump Shot: Missed","-93","183","2","0","1","2","","1610612742","1717","0","2","","1610612742"
"5","10","11:15","[GSW] Pachulia Rebound (Off:0 Def:1)","93","653","0","0","0","4","","1610612744","2585","0","2","","1610612742"
"6","11","11:12","[GSW] Thompson 3pt Shot: Missed","-168","176","3","0","79","2","","1610612744","202691","0","2","","1610612744"
"7","12","11:07","[GSW] Curry Rebound (Off:1 Def:0)","-168","176","1","0","0","4","","1610612744","201939","0","2","","1610612744"
"8","13","11:00","[GSW] Curry Turnover : Lost Ball (1 TO) Steal:Barnes (1 ST)","14","109","1","0","2","5","203084","1610612744","201939","0","2","","1610612744"
"9","15","10:56","[DAL 2-2] Matthews Running Layup Shot: Made (2 PTS) Assist: Barnes (1 AST)","6","15","2","0","41","1","","1610612742","202083","2","2","203084","1610612742"
"10","17","10:46","[GSW] Curry Turnover : Bad Pass (2 TO) Steal:Nowitzki (1 ST)","-112","122","1","0","1","5","1717","1610612744","201939","2","2","","1610612744"
"11","19","10:40","[DAL] Nowitzki Turnover : Bad Pass (1 TO) Steal:Curry (1 ST)","-44","179","1","0","1","5","201939","1610612742","1717","2","2","","1610612742"
"12","21","10:35","[GSW 4-2] Green Cutting Finger Roll Layup Shot: Made (2 PTS) Assist: Curry (1 AST)","23","12","2","1","99","1","","1610612744","203110","2","4","201939","1610612744"
"13","23","10:35","[DAL] Nowitzki Foul: Shooting (1 PF) (1 FTA)","-23","824","0","0","2","6","203110","1610612742","1717","2","4","","1610612742"
"14","25","10:35","[GSW 5-2] Green Free Throw 1 of 1 (3 PTS)","0","-80","1","1","10","3","","1610612744","203110","2","5","","1610612744"
"15","26","10:16","[DAL 4-5] Smith Jr. Pullup Jump shot: Made (2 PTS)","-126","169","2","0","79","1","","1610612742","1628372","4","5","","1610612742"
"16","27","10:00","[GSW 7-4] Thompson Turnaround Jump Shot: Made (4 PTS)","-27","59","2","0","47","1","","1610612744","202691","4","7","","1610612744"
"17","28","09:41","[GSW] Thompson Foul: Shooting (1 PF) (2 FTA)","50","792","0","0","2","6","1628372","1610612744","202691","4","7","","1610612742"
"18","30","09:41","[DAL 5-7] Smith Jr. Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612742","1628372","5","7","","1610612742"
"19","31","09:41","[DAL 6-7] Smith Jr. Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612742","1628372","6","7","","1610612742"
"20","32","09:29","[GSW 9-6] Curry Pullup Jump shot: Made (2 PTS)","154","149","2","0","79","1","","1610612744","201939","6","9","","1610612744"
"21","33","09:18","[DAL] Smith Jr. Driving Layup Shot: Missed","32","33","2","0","6","2","","1610612742","1628372","6","9","","1610612742"
"22","34","09:17","[GSW] Green Rebound (Off:0 Def:1)","-32","802","0","0","0","4","","1610612744","203110","6","9","","1610612742"
"23","35","09:05","[GSW 12-6] Durant 3pt Shot: Made (3 PTS) Assist: Curry (2 AST)","141","209","3","0","1","1","","1610612744","201142","6","12","201939","1610612744"
"24","37","08:47","[DAL] Barnes Turnaround Jump Shot: Missed","-136","52","2","0","47","2","","1610612742","203084","6","12","","1610612742"
"25","38","08:44","[GSW] Pachulia Rebound (Off:0 Def:2)","136","784","0","0","0","4","","1610612744","2585","6","12","","1610612742"
"26","39","08:38","[GSW 15-6] Durant 3pt Shot: Made (6 PTS) Assist: Green (2 AST)","107","226","3","1","1","1","","1610612744","201142","6","15","203110","1610612744"
"27","41","08:37","[DAL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612742","1610612742","6","15","","1610612742"
"28","42","08:25","[GSW] Pachulia Foul: Personal (1 PF)","99","628","0","0","1","6","1717","1610612744","2585","6","15","","1610612742"
"29","44","08:12","[DAL] Nowitzki Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","79","73","0","0","45","5","","1610612742","1717","6","15","","1610612742"
"30","45","07:59","[GSW] Curry 3pt Shot: Missed","-168","175","3","0","1","2","","1610612744","201939","6","15","","1610612744"
"31","46","07:57","[GSW] Pachulia Rebound (Off:1 Def:2)","-168","175","1","0","0","4","","1610612744","2585","6","15","","1610612744"
"32","47","07:54","[GSW] Durant 3pt Shot: Missed","-25","243","3","0","1","2","","1610612744","201142","6","15","","1610612744"
"33","48","07:50","[DAL] Nowitzki Rebound (Off:0 Def:1)","25","593","0","0","0","4","","1610612742","1717","6","15","","1610612744"
"34","49","07:38","[DAL] Smith Jr. 3pt Shot: Missed","-23","261","3","0","1","2","","1610612742","1628372","6","15","","1610612742"
"35","50","07:36","[GSW] Green Rebound (Off:0 Def:2)","23","575","0","0","0","4","","1610612744","203110","6","15","","1610612742"
"36","51","07:31","[GSW 17-6] Durant Running Dunk Shot: Made (8 PTS) Assist: Curry (3 AST)","3","-7","2","1","50","1","","1610612744","201142","6","17","201939","1610612744"
"37","53","07:10","[DAL] Nowitzki Jump Shot: Missed","-100","159","2","0","1","2","","1610612742","1717","6","17","","1610612742"
"38","54","07:07","[GSW] Thompson Rebound (Off:0 Def:1)","100","676","0","0","0","4","","1610612744","202691","6","17","","1610612742"
"39","55","06:59","[GSW] Curry 3pt Shot: Missed","174","199","3","0","1","2","","1610612744","201939","6","17","","1610612744"
"40","56","06:57","[DAL] Matthews Rebound (Off:0 Def:1)","-174","636","0","0","0","4","","1610612742","202083","6","17","","1610612744"
"41","57","06:47","[DAL] Smith Jr. Driving Layup Shot: Missed","11","25","2","0","6","2","201142","1610612742","1628372","6","17","","1610612742"
