"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Jordan vs Lopez (Griffin gains possession)","0","-80","0","0","0","10","201572","1610612746","201599","0","0","201933","1610612746"
"3","7","11:40","[LAC] Gallinari Finger Roll Layup Shot: Missed","-12","22","2","0","71","2","","1610612746","201568","0","0","","1610612746"
"4","8","11:37","[LAL] Ingram Rebound (Off:0 Def:1)","12","813","0","0","0","4","","1610612747","1627742","0","0","","1610612746"
"5","9","11:18","[LAL] Nance Jr. Turnaround Jump Shot: Missed","153","13","2","0","47","2","","1610612747","1626204","0","0","","1610612747"
"6","10","11:15","[LAC] Jordan Rebound (Off:0 Def:1)","-153","823","0","0","0","4","","1610612746","201599","0","0","","1610612747"
"7","11","11:09","[LAC] Griffin 3pt Shot: Missed","125","230","3","0","1","2","","1610612746","201933","0","0","","1610612746"
"8","12","11:07","[LAL] Ingram Rebound (Off:0 Def:2)","-125","606","0","0","0","4","","1610612747","1627742","0","0","","1610612746"
"9","13","11:00","[LAL] Lopez Hook Shot: Missed","40","88","2","0","3","2","","1610612747","201572","0","0","","1610612747"
"10","14","10:50","[LAL] Nance Jr. Rebound (Off:1 Def:0)","40","88","1","0","0","4","","1610612747","1626204","0","0","","1610612747"
"11","15","10:50","[LAL] Nance Jr. Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612747","1626204","0","0","","1610612747"
"12","16","10:49","[LAC] Jordan Rebound (Off:0 Def:2)","0","841","0","0","0","4","","1610612746","201599","0","0","","1610612747"
"13","17","10:47","[LAC] Beverley Jump Shot: Missed","-110","100","2","0","1","2","","1610612746","201976","0","0","","1610612746"
"14","18","10:44","[LAL] Ball Rebound (Off:0 Def:1)","110","735","0","0","0","4","","1610612747","1628366","0","0","","1610612746"
"15","19","10:39","[LAL] Ingram Turnaround Jump Shot: Missed","65","73","2","0","47","2","","1610612747","1627742","0","0","","1610612747"
"16","20","10:39","[LAC] Gallinari Rebound (Off:0 Def:1)","-65","762","0","0","0","4","","1610612746","201568","0","0","","1610612747"
"17","21","10:28","[LAC] Gallinari Driving Layup Shot: Missed","-13","14","2","0","6","2","","1610612746","201568","0","0","","1610612746"
"18","22","10:27","[LAC] Jordan Rebound (Off:1 Def:2)","-13","14","1","0","0","4","","1610612746","201599","0","0","","1610612746"
"19","23","10:27","[LAC] Jordan Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612746","201599","0","0","","1610612746"
"20","24","10:27","[LAC] Jordan Rebound (Off:2 Def:2)","0","-5","1","0","0","4","","1610612746","201599","0","0","","1610612746"
"21","25","10:27","[LAL] Ball Foul: Shooting (1 PF)","6","818","0","0","2","6","201599","1610612747","1628366","0","0","","1610612746"
"22","27","10:27","[LAC 2-0] Jordan Free Throw 1 of 2 (2 PTS)","0","-80","1","0","11","3","","1610612746","201599","0","2","","1610612746"
"23","28","10:27","[LAC 1-0] Jordan Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612746","201599","0","1","","1610612746"
"24","29","10:15","[LAL] Lopez Jump Shot: Missed","149","29","2","0","1","2","","1610612747","201572","0","2","","1610612747"
"25","30","10:07","[LAL] Nance Jr. Rebound (Off:2 Def:0)","149","29","1","0","0","4","","1610612747","1626204","0","2","","1610612747"
"26","31","10:07","[LAL 2-2] Nance Jr. Putback Dunk Shot: Made (2 PTS)","0","-5","2","0","87","1","","1610612747","1626204","2","2","","1610612747"
"27","32","10:03","[LAC] Teodosic Turnover : Bad Pass (1 TO) Steal:Deng (1 ST)","-121","79","1","0","1","5","2736","1610612746","1628462","2","2","","1610612746"
"28","34","10:00","[LAL] Deng Layup Shot: Missed","44","5","2","1","5","2","","1610612747","2736","2","2","","1610612747"
"29","35","09:56","[LAC] Teodosic Rebound (Off:0 Def:1)","-44","830","0","0","0","4","","1610612746","1628462","2","2","","1610612747"
"30","36","09:42","[LAC 4-2] Griffin Layup Shot: Made (2 PTS)","-12","22","2","0","5","1","","1610612746","201933","2","4","","1610612746"
"31","37","09:28","[LAL] Ingram Turnover : Lost Ball (1 TO) Steal:Jordan (1 ST)","57","34","1","0","2","5","201599","1610612747","1627742","2","4","","1610612747"
"32","39","09:18","[LAC 6-2] Griffin Driving Dunk Shot: Made (4 PTS)","4","6","2","0","9","1","","1610612746","201933","2","6","","1610612746"
"33","40","09:13","[LAC] Teodosic Foul: Shooting (1 PF) (2 FTA)","-44","787","0","0","2","6","1627742","1610612746","1628462","2","6","","1610612747"
"34","42","09:13","[LAL 3-6] Ingram Free Throw 1 of 1 (1 PTS)","0","-80","1","0","10","3","","1610612747","1627742","3","6","","1610612747"
"35","43","09:13","[LAL 4-6] Ingram Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612747","1627742","4","6","","1610612747"
"36","44","09:00","[LAC] Beverley Layup Shot: Missed","-11","21","2","0","5","2","","1610612746","201976","4","6","","1610612746"
"37","45","08:58","[LAL] Nance Jr. Rebound (Off:2 Def:1)","11","814","0","0","0","4","","1610612747","1626204","4","6","","1610612746"
"38","46","08:57","[LAL] Deng Turnover : Traveling (1 TO)","55","-3","0","0","4","5","","1610612747","2736","4","6","","1610612747"
"39","47","08:42","[LAC] Griffin Turnover : Traveling (1 TO)","-30","30","0","0","4","5","","1610612746","201933","4","6","","1610612746"
"40","48","08:19","[LAL] Ingram Layup Shot: Missed","11","17","2","0","5","2","","1610612747","1627742","4","6","","1610612747"
"41","49","08:16","[LAC] Jordan Rebound (Off:2 Def:3)","-11","819","0","0","0","4","","1610612746","201599","4","6","","1610612747"
"42","50","08:13","[LAC 8-4] Gallinari Pullup Jump shot: Made (2 PTS)","-82","163","2","1","79","1","","1610612746","201568","4","8","","1610612746"
"43","51","07:55","[LAL] Ball Driving Floating Jump Shot: Missed","2","96","2","0","101","2","","1610612747","1628366","4","8","","1610612747"
"44","52","07:53","[LAC] Jordan Rebound (Off:2 Def:4)","-2","740","0","0","0","4","","1610612746","201599","4","8","","1610612747"
"45","53","07:51","[LAC 11-4] Teodosic 3pt Shot: Made (3 PTS) Assist: Gallinari (1 AST)","-115","222","3","0","1","1","","1610612746","1628462","4","11","201568","1610612746"
"46","55","07:50","[LAL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612747","1610612747","4","11","","1610612747"
"47","56","07:44","[LAC] Beverley Foul: Personal (1 PF)","-94","434","0","0","1","6","1628366","1610612746","201976","4","11","","1610612747"
"48","58","07:44","[LAL] Team Turnover : Backcourt Turnover","152","409","0","0","13","5","","1610612747","0","4","11","","1610612747"
"49","59","07:23","[LAC] Beverley Jump Shot: Missed","-40","30","2","0","1","2","","1610612746","201976","4","11","","1610612746"
"50","60","07:14","[LAC] Jordan Rebound (Off:3 Def:4)","-40","30","1","0","0","4","","1610612746","201599","4","11","","1610612746"
"51","61","07:14","[LAC] Jordan Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612746","201599","4","11","","1610612746"
"52","62","07:14","[LAL] Lopez Rebound (Off:0 Def:1)","0","841","0","0","0","4","","1610612747","201572","4","11","","1610612746"
"53","63","07:12","[LAL] Lopez 3pt Shot: Missed","65","266","3","0","1","2","","1610612747","201572","4","11","","1610612747"
"54","64","07:12","[LAC] Griffin Rebound (Off:0 Def:1)","-65","570","0","0","0","4","","1610612746","201933","4","11","","1610612747"
"55","65","07:00","[LAC 13-4] Griffin Layup Shot: Made (6 PTS) Assist: Teodosic (1 AST)","-18","22","2","0","5","1","","1610612746","201933","4","13","1628462","1610612746"
"56","67","06:50","[LAC] Jordan Foul: Shooting (1 PF) (2 FTA)","-50","723","0","0","2","6","1628366","1610612746","201599","4","13","","1610612747"
"57","69","06:50","[LAL] Ball Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612747","1628366","4","13","","1610612747"
"58","70","06:50","[LAL] Team Rebound","0","-80","1","0","0","4","","1610612747","0","4","13","","1610612747"
"59","72","06:50","[LAC] Beverley Substitution replaced by Rivers","0","-80","0","0","0","8","","1610612746","201976","4","13","203085","1610612747"
"60","73","06:50","[LAL] Ball Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612747","1628366","4","13","","1610612747"
"61","74","06:48","[LAC] Jordan Rebound (Off:3 Def:5)","0","-80","0","0","0","4","","1610612746","201599","4","13","","1610612747"
"62","75","06:40","[LAC] Griffin Step Back Jump shot: Missed","-28","214","2","0","80","2","","1610612746","201933","4","13","","1610612746"
"63","76","06:37","[LAL] Ball Rebound (Off:0 Def:2)","28","622","0","0","0","4","","1610612747","1628366","4","13","","1610612746"
"64","77","06:37","[LAC] Griffin Foul: Clear Path (1 PF) (2 FTA)","-24","808","0","0","9","6","201572","1610612746","201933","4","13","","1610612747"
"65","79","06:37","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","4","13","","1610612747"
"66","80","06:37","[LAL 5-13] Lopez Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612747","201572","5","13","","1610612747"
"67","81","06:37","[LAL 6-13] Lopez Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612747","201572","6","13","","1610612747"
"68","82","06:27","[LAL] Ingram Jump Shot: Missed","-13","163","2","0","1","2","","1610612747","1627742","6","13","","1610612747"
